genus	statistic	p.value	parameter	method	C	1RM1	M1	p.value.adj
Bacteroides	10.971428571428568	0.004145572897988745	2	Kruskal-Wallis rank sum test	5e-4	0.5275000000000001	0.722	0.06011080702083681
Porphyromonadaceae Unclassified	10.971428571428568	0.004145572897988745	2	Kruskal-Wallis rank sum test	5e-4	0.348	0.0375	0.06011080702083681
Dorea	6.717416378316031	0.03478015932399683	2	Kruskal-Wallis rank sum test	0	0.001	0	0.18047812283350534
Enterobacteriaceae Unclassified	6.533406754772393	0.03813192667088497	2	Kruskal-Wallis rank sum test	0.781	0.0395	0.14700000000000002	0.18047812283350534
Erysipelotrichaceae Unclassified	7.19939804364184	0.02733194752924344	2	Kruskal-Wallis rank sum test	0.0015	0.0055	5e-4	0.18047812283350534
Lactobacillales Unclassified	6.000000000000016	0.04978706836786354	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.18047812283350534
Peptostreptococcaceae Unclassified	7.888190954773868	0.019368727901068434	2	Kruskal-Wallis rank sum test	0.063	0	0.0015	0.18047812283350534
Veillonella	6.000000000000016	0.04978706836786354	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.18047812283350534
Turicibacter	5.758646063281826	0.056172777158212804	2	Kruskal-Wallis rank sum test	0	0.019	0.041999999999999996	0.18100117084313017
Lachnospiraceae Unclassified	4.8869309838472805	0.08685931901608465	2	Kruskal-Wallis rank sum test	0.0025	0.023	0.035	0.23668738123011202
Lactobacillus	4.819047619047616	0.08985807394489585	2	Kruskal-Wallis rank sum test	0.1495	0.0195	0.0215	0.23668738123011202
Ruminococcaceae Unclassified	4.646808510638295	0.09793960602625325	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.23668738123011202
Bifidobacterium	4.236173393124066	0.12026150528083268	2	Kruskal-Wallis rank sum test	0	0.007	0.008	0.2682756656264729
Alistipes	2.8888888888888977	0.23587708298569898	2	Kruskal-Wallis rank sum test	0	0	0	0.4275272129115794
Anaerostipes	2.8888888888888977	0.23587708298569898	2	Kruskal-Wallis rank sum test	0	0	0	0.4275272129115794
Olsenella	2.8888888888888977	0.23587708298569898	2	Kruskal-Wallis rank sum test	0	0	0	0.4275272129115794
Bacillus	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.6203790188310502
Bacteroidales Unclassified	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.6203790188310502
Campylobacter	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.6203790188310502
Clostridium IV	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.6203790188310502
Coriobacteriaceae Unclassified	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.6203790188310502
Lactococcus	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.6203790188310502
Parabacteroides	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.6203790188310502
Phascolarctobacterium	1.3333333333333288	0.5134171190325932	2	Kruskal-Wallis rank sum test	0	0	0	0.6203790188310502
Clostridium XlVa	1.0505050505050468	0.5914060005589071	2	Kruskal-Wallis rank sum test	0	0	0	0.6860309606483322
