otu	statistic	p.value	parameter	method	C	1RM1	M1	p.value.adj
Enterobacteriaceae (OTU 2)	12.171735241502683	0.0022747898129686092	2	Kruskal-Wallis rank sum test	0.3665	0.0045000000000000005	0.072	0.08469389846046887
Porphyromonadaceae (OTU 6)	12.15925925925926	0.002289024282715375	2	Kruskal-Wallis rank sum test	0	0.16349999999999998	0.233	0.08469389846046887
Porphyromonadaceae (OTU 7)	12.176470588235295	0.002269410224781444	2	Kruskal-Wallis rank sum test	0	0.037	0	0.08469389846046887
Clostridiales (OTU 91)	13.186046511627907	0.0013698921624039292	2	Kruskal-Wallis rank sum test	0	0.001	0	0.08469389846046887
Porphyromonadaceae (OTU 14)	11.441176470588237	0.003277782227949096	2	Kruskal-Wallis rank sum test	0	0.0275	0	0.09702235394729325
Porphyromonadaceae (OTU 10)	11.040000000000001	0.004005847942090417	2	Kruskal-Wallis rank sum test	0	0.1325	0.055	0.09881091590489695
Lactobacillus (OTU 9)	10.168157423971376	0.006194591465086747	2	Kruskal-Wallis rank sum test	0.046	0.004	0.008	0.10131203852934446
Lachnospiraceae (OTU 24)	9.968354430379748	0.006845408008739491	2	Kruskal-Wallis rank sum test	0.0035	0	0	0.10131203852934446
Bifidobacterium (OTU 28)	10.08872901678657	0.006445555158812923	2	Kruskal-Wallis rank sum test	0.017	0.0045000000000000005	0	0.10131203852934446
Ruminococcaceae (OTU 37)	9.968354430379748	0.006845408008739491	2	Kruskal-Wallis rank sum test	0.006500000000000001	0	0	0.10131203852934446
Bacteroides (OTU 1)	7.872391174716757	0.01952234470047853	2	Kruskal-Wallis rank sum test	0.002	0.3365	0.48	0.2146744360890414
Peptostreptococcaceae (OTU 12)	8.20794537554313	0.016506967940881325	2	Kruskal-Wallis rank sum test	0.005	0	0.002	0.2146744360890414
Porphyromonadaceae (OTU 25)	7.551369863013699	0.022921385684896725	2	Kruskal-Wallis rank sum test	0	0.0015	0	0.2146744360890414
Lachnospiraceae (OTU 26)	7.405263157894737	0.024658550091308813	2	Kruskal-Wallis rank sum test	0	0.0045000000000000005	0.002	0.2146744360890414
Lachnospiraceae (OTU 32)	7.43362831858407	0.024311296519984205	2	Kruskal-Wallis rank sum test	0	0.001	0	0.2146744360890414
Lachnospiraceae (OTU 75)	8.044419134396353	0.017913340449670186	2	Kruskal-Wallis rank sum test	0	0.0035	0	0.2146744360890414
Porphyromonadaceae (OTU 87)	7.411764705882352	0.024578520866883665	2	Kruskal-Wallis rank sum test	0	0.0025	0	0.2146744360890414
Lachnospiraceae (OTU 17)	7.139492753623189	0.028162995563318062	2	Kruskal-Wallis rank sum test	0.0015	0.007	0.005	0.23156240796505959
Lachnospiraceae (OTU 72)	6.668195718654438	0.03564673007510079	2	Kruskal-Wallis rank sum test	0	0.001	0	0.2776692658481535
Erysipelotrichaceae (OTU 39)	6.204440026507618	0.044949303496637144	2	Kruskal-Wallis rank sum test	0	0.006500000000000001	0	0.33262484587511487
Lachnospiraceae (OTU 20)	5.192307692307692	0.07455979588862262	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.35935167896972475
Lachnospiraceae (OTU 33)	5.942893401015227	0.05122914346837483	2	Kruskal-Wallis rank sum test	0.002	0	0	0.35935167896972475
Lachnospiraceae (OTU 46)	5.173357664233576	0.07526960843284775	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.35935167896972475
Porphyromonadaceae (OTU 48)	5.8097046413502165	0.054756876462967535	2	Kruskal-Wallis rank sum test	0	0.010499999999999999	0	0.35935167896972475
Lachnospiraceae (OTU 64)	5.192307692307692	0.07455979588862262	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.35935167896972475
Porphyromonadaceae (OTU 67)	5.173357664233576	0.07526960843284775	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.35935167896972475
Blautia (OTU 132)	5.192307692307692	0.07455979588862262	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.35935167896972475
Clostridium IV (OTU 145)	5.173357664233576	0.07526960843284775	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.35935167896972475
Lachnospiraceae (OTU 180)	5.192307692307692	0.07455979588862262	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.35935167896972475
Lachnospiraceae (OTU 193)	5.192307692307692	0.07455979588862262	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.35935167896972475
Porphyromonadaceae (OTU 253)	5.250000000000001	0.07243975703425143	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.35935167896972475
Akkermansia (OTU 3)	4.940071556350625	0.08458183276378753	2	Kruskal-Wallis rank sum test	0.028999999999999998	0.0985	0.002	0.39119097653251733
Lachnospiraceae (OTU 4)	3.538961038961039	0.17042149648194044	2	Kruskal-Wallis rank sum test	0.0075	0.0035	0	0.40091907637863095
Lachnospiraceae (OTU 11)	3.7140672782874606	0.1561350971476746	2	Kruskal-Wallis rank sum test	0.001	0	0	0.40091907637863095
Lactobacillus (OTU 13)	4.712746858168761	0.09476326649103424	2	Kruskal-Wallis rank sum test	0.026000000000000002	0.006999999999999999	0.004	0.40091907637863095
Porphyromonadaceae (OTU 15)	3.2142857142857144	0.20045953818931547	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
Lachnospiraceae (OTU 16)	3.7809436274509793	0.15100054789569417	2	Kruskal-Wallis rank sum test	5e-4	0.0035	0.002	0.40091907637863095
Alistipes (OTU 18)	3.2142857142857144	0.20045953818931547	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
Lachnospiraceae (OTU 31)	4.142201834862387	0.12604693802013078	2	Kruskal-Wallis rank sum test	0.014	0	0	0.40091907637863095
Bacteroidales (OTU 38)	3.2142857142857144	0.20045953818931547	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
Porphyromonadaceae (OTU 44)	3.4588235294117666	0.177388725594977	2	Kruskal-Wallis rank sum test	0	0.0015	0	0.40091907637863095
Lachnospiraceae (OTU 49)	3.2142857142857144	0.20045953818931547	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
Clostridium XlVb (OTU 51)	3.2142857142857144	0.20045953818931547	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
Ruminococcaceae (OTU 61)	4	0.1353352832366127	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
Lachnospiraceae (OTU 62)	3.2142857142857144	0.20045953818931547	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
Lachnospiraceae (OTU 63)	3.2142857142857144	0.20045953818931547	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
Ruminococcaceae (OTU 65)	3.4588235294117666	0.177388725594977	2	Kruskal-Wallis rank sum test	0.002	0	0	0.40091907637863095
Lachnospiraceae (OTU 66)	3.2142857142857144	0.20045953818931547	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
Lachnospiraceae (OTU 70)	4.461832061068705	0.1074299759109022	2	Kruskal-Wallis rank sum test	0	0.001	0.001	0.40091907637863095
Lachnospiraceae (OTU 73)	3.659090909090909	0.1604864996074131	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.40091907637863095
Lachnospiraceae (OTU 88)	3.230769230769231	0.1988141887380742	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
Lachnospiraceae (OTU 90)	3.2281219272369697	0.19907752373359702	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.40091907637863095
Clostridiales (OTU 97)	3.2142857142857144	0.20045953818931547	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
Enterorhabdus (OTU 109)	3.7083333333333357	0.15658337446621523	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.40091907637863095
Lachnospiraceae (OTU 111)	3.2142857142857144	0.20045953818931547	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
Lachnospiraceae (OTU 116)	3.2142857142857144	0.20045953818931547	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
Lachnospiraceae (OTU 125)	3.2142857142857144	0.20045953818931547	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
Clostridium IV (OTU 126)	3.230769230769231	0.1988141887380742	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
Dorea (OTU 134)	3.2142857142857144	0.20045953818931547	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
Lachnospiraceae (OTU 148)	3.237672583826428	0.19812912945093927	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.40091907637863095
Ruminococcaceae (OTU 153)	3.2142857142857144	0.20045953818931547	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
Lachnospiraceae (OTU 174)	4	0.1353352832366127	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
Bacteroides (OTU 178)	4	0.1353352832366127	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
Coriobacteriaceae (OTU 182)	4	0.1353352832366127	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
Clostridium XlVa (OTU 186)	4	0.1353352832366127	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
Lachnospiraceae (OTU 203)	4	0.1353352832366127	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
Akkermansia (OTU 250)	3.230769230769231	0.1988141887380742	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
Porphyromonadaceae (OTU 254)	4	0.1353352832366127	2	Kruskal-Wallis rank sum test	0	0	0	0.40091907637863095
