genus	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj	day
Acetatifactor	21.30792405240664	2.3607124020644502e-5	2	Kruskal-Wallis rank sum test	0	0.015	NA	0	2.7402281930402075e-4	6
Clostridiales Unclassified	21.270526660124315	2.4052699315446913e-5	2	Kruskal-Wallis rank sum test	0	0.008	NA	0	2.7402281930402075e-4	6
Oscillibacter	21.260094817721114	2.4178484056237125e-5	2	Kruskal-Wallis rank sum test	0	0.017	NA	0	2.7402281930402075e-4	6
Lachnospiraceae Unclassified	19.056954639563344	7.275031516321293e-5	2	Kruskal-Wallis rank sum test	0.002	0.445	NA	0	4.947021431098479e-4	6
Ruminococcaceae Unclassified	19.341131351869617	6.311414308239448e-5	2	Kruskal-Wallis rank sum test	0	0.076	NA	0	4.947021431098479e-4	6
Blautia	17.86921031591082	1.317498962584298e-4	2	Kruskal-Wallis rank sum test	0.038	0	NA	0.05	7.465827454644355e-4	6
Enterobacteriaceae Unclassified	17.17693836978131	1.8624097003925504e-4	2	Kruskal-Wallis rank sum test	0.235	0	NA	0.234	9.045989973335244e-4	6
Pseudoflavonifractor	16.776111033225867	2.2756935324247623e-4	2	Kruskal-Wallis rank sum test	0	0.006	NA	0	9.67169751280524e-4	6
Clostridium IV	16.04256189891548	3.2839909063809994e-4	2	Kruskal-Wallis rank sum test	0	0.002	NA	0	0.0012406187868550442	6
Peptostreptococcaceae Unclassified	15.300501751396386	4.7592471609855704e-4	2	Kruskal-Wallis rank sum test	0.02	0	NA	0.051	0.0016181440347350939	6
Clostridium XlVa	14.305359812086257	7.827635352066502e-4	2	Kruskal-Wallis rank sum test	0	0.023	NA	0	0.0024194509270023734	6
Firmicutes Unclassified	14.008230452674901	9.081370756929164e-4	2	Kruskal-Wallis rank sum test	0	0.002	NA	0	0.0025730550477965964	6
Bacteroides	13.706607604282034	0.0010559612365957215	2	Kruskal-Wallis rank sum test	0.676	0	NA	0.482	0.0027617447726349643	6
Butyricicoccus	11.322169697940868	0.003478740941881614	2	Kruskal-Wallis rank sum test	0	0.003	NA	0	0.008448370858855348	6
Turicibacter	10.961145194274035	0.004166943035019187	2	Kruskal-Wallis rank sum test	0	0.01	NA	0	0.009445070879376825	6
Lactobacillus	10.759306684482057	0.004609419544113409	2	Kruskal-Wallis rank sum test	0.003	0.012	NA	0.001	0.009795016531240994	6
Unclassified	10.498687664041986	0.0052509627826476625	2	Kruskal-Wallis rank sum test	0	0.002	NA	0	0.010501925565295325	6
Akkermansia	8.187317503167886	0.016678100764334045	2	Kruskal-Wallis rank sum test	0.001	0.262	NA	0.137	0.03150307922151986	6
Anaeroplasma	5.790108564535564	0.055296023419672706	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.09400323981344359	6
Enterorhabdus	5.818181818181798	0.054525275777435725	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.09400323981344359	6
Clostridium XlVb	5.586100791774537	0.06123414036593373	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.0991409891638927	6
Anaerostipes	5.366459627329173	0.06834206517240503	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.10561955526644413	6
Porphyromonadaceae Unclassified	3.796052016091299	0.14986415807329306	2	Kruskal-Wallis rank sum test	0	0.002	NA	0	0.22153832063008538	6
Bifidobacterium	3.70370370370369	0.15694625582071467	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.2223405290793458	6
Prevotella	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.36151552251558033	6
Terrisporobacter	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.36151552251558033	6
Alistipes	1.9429030960997202	0.3785331800279589	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.4111122905071889	6
Bacteroidales Unclassified	1.777777777777771	0.4111122905071889	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.4111122905071889	6
