genus	statistic	p.value	parameter	method	WM	C	WMR	WMC	p.value.adj	day
Oscillibacter	22.52346193952033	1.285560095298223e-5	2	Kruskal-Wallis rank sum test	0	0.015	NA	0	5.142240381192892e-4	6
Acetatifactor	20.152647352647364	4.2063773429312796e-5	2	Kruskal-Wallis rank sum test	0	0.02	NA	0	5.608503123908373e-4	6
Clostridium IV	20.21423819028608	4.078814448437371e-5	2	Kruskal-Wallis rank sum test	0	0.001	NA	0	5.608503123908373e-4	6
Clostridiales Unclassified	19.48016228913089	5.887575719990895e-5	2	Kruskal-Wallis rank sum test	0	0.01	NA	0	5.887575719990895e-4	6
Peptostreptococcaceae Unclassified	17.35143425163305	1.7068050757370907e-4	2	Kruskal-Wallis rank sum test	0.031	0	NA	0.042	0.0011378700504913939	6
Ruminococcaceae Unclassified	17.5569622659443	1.5401183113153142e-4	2	Kruskal-Wallis rank sum test	0.001	0.083	NA	0	0.0011378700504913939	6
Enterobacteriaceae Unclassified	16.724279835390956	2.335440336492552e-4	2	Kruskal-Wallis rank sum test	0.274	0.002	NA	0.217	0.0013345373351386011	6
Bacteroides	15.36825518972499	4.600719834961857e-4	2	Kruskal-Wallis rank sum test	0.255	0.007	NA	0.391	0.0020936390219874535	6
Blautia	15.11029185867895	5.234097554968634e-4	2	Kruskal-Wallis rank sum test	0.084	0	NA	0.08	0.0020936390219874535	6
Lachnospiraceae Unclassified	15.160253575114258	5.104964943076751e-4	2	Kruskal-Wallis rank sum test	0.003	0.615	NA	0.002	0.0020936390219874535	6
Clostridium XlVb	14.16743471582182	8.386497852323297e-4	2	Kruskal-Wallis rank sum test	0	0.006	NA	0	0.003049635582663017	6
Firmicutes Unclassified	13.81642376023844	9.995435030893526e-4	2	Kruskal-Wallis rank sum test	0	0.002	NA	0	0.003075518471044162	6
Pseudoflavonifractor	13.944565449498187	9.375103832174502e-4	2	Kruskal-Wallis rank sum test	0	0.005	NA	0	0.003075518471044162	6
Butyricicoccus	11.664069264069262	0.0029321051519760493	2	Kruskal-Wallis rank sum test	0	0.003	NA	0	0.00781894707193613	6
Clostridium XlVa	11.78915901819287	0.0027543342721060475	2	Kruskal-Wallis rank sum test	0	0.012	NA	0	0.00781894707193613	6
Anaerostipes	8.374978459417523	0.015184361495952842	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.037960903739882104	6
Coriobacteriaceae Unclassified	8.080808080808051	0.017590363761947114	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.041389091204581445	6
Turicibacter	7.959960957780409	0.018686004105710207	2	Kruskal-Wallis rank sum test	0	0.004	NA	0	0.041524453568244905	6
Lactobacillus	7.709483172632899	0.021179075565964378	2	Kruskal-Wallis rank sum test	0.003	0.01	NA	0.002	0.044587527507293424	6
Unclassified	5.439610814856407	0.06588757441157973	2	Kruskal-Wallis rank sum test	0	0.003	NA	0	0.13177514882315947	6
Akkermansia	3.9226808845893157	0.14066973482574735	2	Kruskal-Wallis rank sum test	0.003	0.131	NA	0.238	0.26794235204904254	6
Bacteroidales Unclassified	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.39493292375651634	6
Bacteroidetes Unclassified	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.39493292375651634	6
Bradyrhizobium	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.39493292375651634	6
Burkholderia	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.39493292375651634	6
Chitinophagaceae Unclassified	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.39493292375651634	6
Ruminococcus	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.39493292375651634	6
Sphingomonas	2.5714285714285925	0.27645304662956144	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.39493292375651634	6
Alistipes	2.0564076052616276	0.35764879178771297	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.48366151824375164	6
Bacillus	1.777777777777771	0.4111122905071889	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.48366151824375164	6
Clostridia Unclassified	1.777777777777771	0.4111122905071889	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.48366151824375164	6
Clostridium sensu stricto	1.777777777777771	0.4111122905071889	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.48366151824375164	6
Enterorhabdus	1.9585921325051265	0.37557538600907986	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.48366151824375164	6
Phenylobacterium	1.777777777777771	0.4111122905071889	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.48366151824375164	6
Bifidobacterium	1.26190476190477	0.5320848121817929	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.5912053468686589	6
Olsenella	1.26190476190477	0.5320848121817929	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.5912053468686589	6
Anaeroplasma	0.5772005772005401	0.7493116539622202	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.788749109433916	6
Porphyromonadaceae Unclassified	0.596845331539204	0.7419876606761061	2	Kruskal-Wallis rank sum test	0.003	0.002	NA	0.002	0.788749109433916	6
Prevotella	0.42555870317909655	0.8083344752578411	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.8290610002644523	6
Erysipelotrichaceae Unclassified	0.20171141158794903	0.9040634745959097	2	Kruskal-Wallis rank sum test	0	0	NA	0	0.9040634745959097	6
Acetitomaculum	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
Acetobacteraceae Unclassified	NaN	NaN	2	Kruskal-Wallis rank sum test	0	0	NA	0	NaN	6
