genus	statistic	p.value	parameter	method	WM	C	WMR	p.value.adj
Acetatifactor	3.0958904109589005	0.21268454818204863	2	Kruskal-Wallis rank sum test	0.018000000000000002	0.021	0.069	0.635924594204184
Acidaminococcus	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Actinobacillus	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Aerococcus	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Aestuariispira	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Akkermansia	1.309090909090905	0.5196782262849995	2	Kruskal-Wallis rank sum test	0.007	0.077	0.04	0.635924594204184
Alistipes	1.2918660287081334	0.524173252716273	2	Kruskal-Wallis rank sum test	0.001	0.005	0	0.635924594204184
Alloprevotella	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Anaeroplasma	4.499999999999993	0.10539922456186471	2	Kruskal-Wallis rank sum test	0	0.002	0	0.635924594204184
Bacteroidales Unclassified	4.651162790697676	0.0977266097349898	2	Kruskal-Wallis rank sum test	0.002	0.016	0	0.635924594204184
Bacteroides	5.781818181818188	0.05552571174025557	2	Kruskal-Wallis rank sum test	0.122	0.089	0.069	0.635924594204184
Bacteroidetes Unclassified	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Bilophila	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Brachybacterium	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Burkholderia	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Butyricicoccus	3.7499999999999982	0.1533549668449286	2	Kruskal-Wallis rank sum test	0.005	0.001	0.009	0.635924594204184
Butyrivibrio	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Carnobacteriaceae Unclassified	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Clostridiales Unclassified	4.05479452054794	0.13167779856311446	2	Kruskal-Wallis rank sum test	0.01	0.020999999999999998	0.002	0.635924594204184
Clostridium sensu stricto	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Clostridium XI	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Clostridium XlVa	1.327188940092162	0.5149968627698004	2	Kruskal-Wallis rank sum test	0.013	0.016	0.012	0.635924594204184
Clostridium XlVb	4.367647058823523	0.11261013826956182	2	Kruskal-Wallis rank sum test	0	0.004	0	0.635924594204184
Collinsella	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Coriobacteriaceae Unclassified	4.399999999999993	0.11080315836233426	2	Kruskal-Wallis rank sum test	0.001	0	0	0.635924594204184
Corynebacterium	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Curvibacter	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Cystobacter	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Dialister	4.367647058823523	0.11261013826956182	2	Kruskal-Wallis rank sum test	0.001	0	0	0.635924594204184
Enterobacteriaceae Unclassified	2.7272727272727266	0.2557291599131007	2	Kruskal-Wallis rank sum test	0.035	0.064	0.008	0.635924594204184
Enterococcus	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Enterorhabdus	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
Erysipelotrichaceae Unclassified	5.723502304147468	0.05716856171422389	2	Kruskal-Wallis rank sum test	0.001	0.009	0.001	0.635924594204184
Firmicutes Unclassified	1.3661202185792312	0.505069058632112	2	Kruskal-Wallis rank sum test	0	0.001	0	0.635924594204184
Flavobacteriaceae Unclassified	1.200000000000017	0.5488116360940217	2	Kruskal-Wallis rank sum test	0	0	0	0.635924594204184
