genus	statistic	p.value	parameter	method	WM	C	WMC	p.value.adj
Oscillibacter	18.520492874228637	9.513187823021463e-5	2	Kruskal-Wallis rank sum test	0	0.013000000000000001	0	0.0060884402067337366
Acetatifactor	14.48814326268383	7.143970688657272e-4	2	Kruskal-Wallis rank sum test	0	0.019	0	0.010537472129559798
Blautia	13.787295275963267	0.0010142076233864016	2	Kruskal-Wallis rank sum test	0.091	0	0.07	0.010537472129559798
Lachnospiraceae Unclassified	13.531581069687304	0.0011525360141706029	2	Kruskal-Wallis rank sum test	0.019	0.457	0.016	0.010537472129559798
Peptostreptococcaceae Unclassified	15.139638360314303	5.157857044709311e-4	2	Kruskal-Wallis rank sum test	0.032	0	0.043	0.010537472129559798
Pseudoflavonifractor	14.175700934579439	8.351907072374678e-4	2	Kruskal-Wallis rank sum test	0	0.005	0	0.010537472129559798
Ruminococcaceae Unclassified	14.735727337136893	6.31215224641867e-4	2	Kruskal-Wallis rank sum test	0.004	0.063	0.002	0.010537472129559798
Bacteroides	12.7519413919414	0.0017019669012899915	2	Kruskal-Wallis rank sum test	0.279	0.042	0.289	0.012281512755455417
Enterobacteriaceae Unclassified	12.722637362637357	0.0017270877312359182	2	Kruskal-Wallis rank sum test	0.318	0.032	0.256	0.012281512755455417
Firmicutes Unclassified	11.274991805965252	0.0035617762818381466	2	Kruskal-Wallis rank sum test	0	0.003	0	0.02279536820376414
Clostridiales Unclassified	9.049993404564036	0.010834750166327695	2	Kruskal-Wallis rank sum test	0.001	0.006	0.001	0.057785334220414375
Clostridium XlVa	9.136266271214371	0.01037731468472088	2	Kruskal-Wallis rank sum test	0	0.028	0	0.057785334220414375
Anaerostipes	8.385093167701845	0.015107762659429693	2	Kruskal-Wallis rank sum test	0	0	0	0.07437667770796157
Clostridium IV	8.057916273213696	0.01779285802756096	2	Kruskal-Wallis rank sum test	0	0	0	0.08133877955456438
Clostridium XlVb	7.880597014925376	0.01944241017454489	2	Kruskal-Wallis rank sum test	0	0.007	0	0.08295428341139152
Butyricicoccus	5.375994012536247	0.06801704072741506	2	Kruskal-Wallis rank sum test	0	0.003	0	0.25848911628455784
Parabacteroides	5.357142857142837	0.06866117151308568	2	Kruskal-Wallis rank sum test	0	0	0	0.25848911628455784
Unclassified	4.404851079008378	0.11053472660206054	2	Kruskal-Wallis rank sum test	0	0.003	0	0.3930123612517708
Enterococcus	3.6686433063791495	0.15972181180967557	2	Kruskal-Wallis rank sum test	0	0	0	0.48677123599139216
Pseudomonas	3.70370370370369	0.15694625582071467	2	Kruskal-Wallis rank sum test	0	0	0	0.48677123599139216
Staphylococcus	3.70370370370369	0.15694625582071467	2	Kruskal-Wallis rank sum test	0	0	0	0.48677123599139216
Acetobacteraceae Unclassified	1.777777777777771	0.4111122905071889	2	Kruskal-Wallis rank sum test	0	0	0	0.5159056194600018
Actinomyces	1.777777777777771	0.4111122905071889	2	Kruskal-Wallis rank sum test	0	0	0	0.5159056194600018
Actinomycetales Unclassified	1.777777777777771	0.4111122905071889	2	Kruskal-Wallis rank sum test	0	0	0	0.5159056194600018
Aerococcus	1.777777777777771	0.4111122905071889	2	Kruskal-Wallis rank sum test	0	0	0	0.5159056194600018
Akkermansia	2.168498168498175	0.3381556169589475	2	Kruskal-Wallis rank sum test	0.029	0.078	0.137	0.5159056194600018
Anaeroplasma	1.777777777777771	0.4111122905071889	2	Kruskal-Wallis rank sum test	0	0	0	0.5159056194600018
Bacteroidales Unclassified	1.9470899470899516	0.37774157788728785	2	Kruskal-Wallis rank sum test	0.001	0.001	0	0.5159056194600018
Bacteroidetes Unclassified	1.777777777777771	0.4111122905071889	2	Kruskal-Wallis rank sum test	0	0	0	0.5159056194600018
Burkholderia	1.777777777777771	0.4111122905071889	2	Kruskal-Wallis rank sum test	0	0	0	0.5159056194600018
Coriobacteriaceae Unclassified	1.777777777777771	0.4111122905071889	2	Kruskal-Wallis rank sum test	0	0	0	0.5159056194600018
Curvibacter	1.777777777777771	0.4111122905071889	2	Kruskal-Wallis rank sum test	0	0	0	0.5159056194600018
Dialister	2.753246753246771	0.25242947489586665	2	Kruskal-Wallis rank sum test	0	0	0	0.5159056194600018
