genus	statistic	p.value	parameter	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	WMN	p.value.adj
Porphyromonadaceae Unclassified	62.21127385271198	1.7134619645399214e-10	8	Kruskal-Wallis rank sum test	0.0015	0.556	0.001	0.542	0.6355	0.6519999999999999	0.006	0.437	0.002	1.1651541358871465e-8
Clostridiales Unclassified	60.50504469407136	3.709887274228906e-10	8	Kruskal-Wallis rank sum test	0	0.0175	0.001	0.017	0.0095	0.01	0	0.0325	0	1.261361673237828e-8
Bacteroidales Unclassified	56.40152969798445	2.3558895636095212e-9	8	Kruskal-Wallis rank sum test	0	0.015	0	0.012	0.02	0.0165	0	0.0095	0	4.005012258136186e-8
Ruminococcaceae Unclassified	56.43287383456086	2.3229829243457385e-9	8	Kruskal-Wallis rank sum test	0	0.0115	0.0015	0.014	0.008	0.009000000000000001	0	0.027999999999999997	0	4.005012258136186e-8
Bifidobacterium	55.583364464003395	3.400014460610991e-9	8	Kruskal-Wallis rank sum test	0.0335	0.0015	0	0.008	0.0025	0	0.016	0	0.0635	4.6240196664309477e-8
Unclassified	53.69862705236879	7.897692408103235e-9	8	Kruskal-Wallis rank sum test	0	0.0105	0	0.004	0.0045000000000000005	0	0	0.014	0	8.950718062517e-8
Bacteroides	51.34925298228532	2.2473358856574684e-08	8	Kruskal-Wallis rank sum test	0.5405	0.0625	0.619	0.069	0.05	0.076	0.718	0.0805	0.31	2.1831262889243977e-7
Enterobacteriaceae Unclassified	47.50529822034604	1.228139365404598e-7	8	Kruskal-Wallis rank sum test	0.1885	0.001	0.003	0.001	0	0	0.174	0.001	0.40049999999999997	1.0439184605939085e-6
Alistipes	43.967212170808686	5.771318346142371e-7	8	Kruskal-Wallis rank sum test	0	0.101	0	0.084	0.067	0.034	0	0.1225	0	4.3605516393075685e-6
Oscillibacter	37.435492776266734	9.568795978616934e-6	8	Kruskal-Wallis rank sum test	0	0.001	0	0.003	5e-4	0.004	0	0.013000000000000001	0	6.506781265459515e-5
Ruminococcus	35.42329365286448	2.2384689381023473e-5	8	Kruskal-Wallis rank sum test	0	0.002	0	0.001	0.001	0.0015	0	0	0	1.3837807980996328e-4
Firmicutes Unclassified	33.79542703096988	4.424418023491848e-5	8	Kruskal-Wallis rank sum test	0	0.0015	0	0.001	0	5e-4	0	0.008	0	2.507170213312047e-4
Akkermansia	28.78003027793014	3.4654787282224905e-4	8	Kruskal-Wallis rank sum test	0	0.003	0.1075	0.008	0.0015	5e-4	0.038	0.0025	5e-4	0.001812711950147149
Clostridium XlVb	28.32668837083731	4.159558313614285e-4	8	Kruskal-Wallis rank sum test	0	0.001	0	0.001	0.0015	0.0015	0	0.0035	0	0.002020356895184081
Enterococcus	26.03532088122623	0.0010357817882913627	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.004695544106920844
Acetatifactor	25.644974968205045	0.0012077073481781887	8	Kruskal-Wallis rank sum test	0	0.0025	0	0.002	0.002	0.001	0	0.005	0	0.005132756229757302
Lactobacillus	24.932446539845966	0.0015960627966027808	8	Kruskal-Wallis rank sum test	0.036000000000000004	0.03	0.004	0.034	0.026000000000000002	0.022	0.032	0.0215	0.03	0.006384251186411123
Lachnospiraceae Unclassified	23.365683374941078	0.0029251470879692347	8	Kruskal-Wallis rank sum test	0.03	0.0835	0.0275	0.132	0.0755	0.068	0.001	0.1565	0.001	0.011050555665661554
Turicibacter	23.131469744462464	0.0031994919679400836	8	Kruskal-Wallis rank sum test	0.0205	0.055	0.009000000000000001	0.064	0.0315	0.033	0	0.022000000000000002	0.0155	0.011450813358943457
Anaeroplasma	22.761719287982864	0.003684027572091526	8	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	5e-4	0	0.002	0	0.012525693745111187
Clostridium XlVa	22.225430619782607	0.004514936677809685	8	Kruskal-Wallis rank sum test	0	0.001	0	0.001	0	0.001	0.002	0.002	0	0.014619794956717076
Erysipelotrichaceae Unclassified	21.522793365972042	0.00588098977448195	8	Kruskal-Wallis rank sum test	0.002	0.0015	0.0055	0.001	0.001	0	0	0	0	0.01817760475748966
Pseudoflavonifractor	17.823615407788377	0.022588448402642847	8	Kruskal-Wallis rank sum test	0	0	0	0	0	5e-4	0	0.0015	0	0.06678323875563971
Enterorhabdus	16.92818687671623	0.030865611575293085	8	Kruskal-Wallis rank sum test	0	0	0	0.001	0.001	0	0.001	0	0.001	0.08745256612999708
Parabacteroides	15.33960337049975	0.05286887665330083	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.14380334449697826
Olsenella	14.794578178241892	0.0632650083663444	8	Kruskal-Wallis rank sum test	0.003	0	0	0.001	0	0	0.001	0	0	0.16546232957351611
Dialister	13.999999999999737	0.08176541624472847	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.1985731537371977
Phocaeicola	13.999999999999737	0.08176541624472847	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.1985731537371977
Butyricicoccus	13.78269650539264	0.0876081537770397	8	Kruskal-Wallis rank sum test	0	5e-4	5e-4	0	0	0	0	5e-4	0	0.2054260157530586
Blautia	11.40280982357426	0.17990303040136757	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0.011	5e-4	0	0.4077802022430998
Acidaminococcaceae Unclassified	10.250000000000854	0.2479158415475675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.44363887434827864
Aerococcus	10.250000000000854	0.2479158415475675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.44363887434827864
Faecalibacterium	10.250000000000854	0.2479158415475675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.44363887434827864
Phascolarctobacterium	10.250000000000854	0.2479158415475675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.44363887434827864
Ralstonia	10.250000000000854	0.2479158415475675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.44363887434827864
Ruminococcus2	10.250000000000854	0.2479158415475675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.44363887434827864
Staphylococcus	10.250000000000854	0.2479158415475675	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.44363887434827864
Streptococcus	10.92525354282746	0.20597051530879684	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.44363887434827864
Clostridiales Incertae Sedis XIII Unclassified	9.041973999631018	0.33876746841723276	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.5906714833941494
Clostridium XVIII	8.000000000000835	0.43347012036662746	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.701808766307873
Odoribacter	8.000000000000835	0.43347012036662746	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.701808766307873
Veillonella	8.000000000000835	0.43347012036662746	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.701808766307873
Clostridium IV	6.542323002473029	0.5867170737134124	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9176140223716107
Dorea	6.478888775890764	0.5937502497698658	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9176140223716107
Pseudomonas	6.322959710743704	0.6111046288647032	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9234469947288848
Acidaminococcus	3.0909090909103543	0.9285235350375285	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9285235350375285
Alloprevotella	3.0909090909103543	0.9285235350375285	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9285235350375285
Anaerofustis	4.597107438017483	0.799641027253214	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9285235350375285
Anaerostipes	5.815564351378422	0.6678826271291257	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9285235350375285
Bacteroidetes Unclassified	3.0909090909103543	0.9285235350375285	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9285235350375285
Bilophila	4.597107438017483	0.799641027253214	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9285235350375285
Bradyrhizobium	3.0909090909103543	0.9285235350375285	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9285235350375285
Burkholderia	3.0909090909103543	0.9285235350375285	8	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0	0.9285235350375285
