genus	method	WM	C	WMR	WMC	WMN	CN	C-WM	WMR-WM	WMR-C	WMC-WM	WMC-C	WMC-WMR	WMN-WM	WMN-C	WMN-WMR	WMN-WMC	CN-WM	CN-C	CN-WMR	CN-WMC	CN-WMN
Akkermansia	Kruskal-Wallis rank sum test	0.018	0.008	0.117	0.003	0	0	0.3007796505107692	0.03449034021316997	0.02476850776236839	0.6089906983928601	0.8603836757864819	0.5	0.075783954709059	0.4541754151487381	0.012655153567692892	0.8603836757864819	0.04376714706188459	0.2617898814945492	0.03367973672476846	0.5562882255975389	0.578987539856956
Bacteroidales Unclassified	Kruskal-Wallis rank sum test	0.03	0.018	0	0.018	0.02	0.013000000000000001	0.35372506859416614	0.005989855156815811	0.005989855156815811	0.8666169751603198	1	0.31098123814295625	0.796787489155598	0.8666169751603198	0.013623421259560528	0.9183673469387754	0.07982409266341145	0.2280099794949607	0.025259802543576345	0.9183673469387754	0.31098123814295625
Bacteroides	Kruskal-Wallis rank sum test	0.063	0.067	0.729	0.038	0.102	0.108	0.9330461491379018	0.006215201488554644	0.006215201488554644	0.3107834485398605	0.19692639008856364	0.3846153846153846	0.05744376775573095	0.02779440843453629	0.012905263885955903	0.3571428571428571	0.09505193590116967	0.035604022067587865	0.016233766233766232	0.3571428571428571	0.9689401457302569
Bifidobacterium	Kruskal-Wallis rank sum test	0.003	0.001	0	0.003	0.006	0.0115	0.38181855532509745	0.07264925185557577	0.16325974638062435	0.9362788618684295	0.6825058119172113	0.24878499051436498	0.22518351789723198	0.06862100407834772	0.032612174548110245	0.7961266402417134	0.032612174548110245	0.022615310383207056	0.032612174548110245	0.2825404065985878	0.24680279016021475
Blautia	Kruskal-Wallis rank sum test	0	0	0.001	0.001	0	0	1	0.012077327013227923	0.012077327013227923	0.06265461085970901	0.06265461085970901	1	0.9701824575151328	0.9701824575151328	0.016685550736268394	0.06265461085970901	0.8890700456858323	0.8890700456858323	0.2787218255020386	0.6554527614811841	0.8890700456858323
Enterobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0.001	0	0.023	0.006	0.001	0.001	0.795568752403012	0.004607737389447195	0.004607737389447195	0.22564073473469448	0.22564073473469448	0.795568752403012	0.795568752403012	0.795568752403012	0.021867943425861992	0.3470508373553981	0.795568752403012	0.795568752403012	0.02777937641883605	0.35671737081246596	0.795568752403012
Enterococcus	Kruskal-Wallis rank sum test	0	0	0	0	0	0	NA	0.015146627566953778	0.015146627566953778	NA	NA	0.7236736098317631	NA	NA	0.02497616873855044	NA	NA	NA	0.16802071771295035	NA	NA
Lactobacillus	Kruskal-Wallis rank sum test	0.036000000000000004	0.028999999999999998	0.007	0.015	0.032	0.053000000000000005	0.3571428571428571	0.0064780121748407365	0.0064780121748407365	0.3571428571428571	0.3571428571428571	0.3571428571428571	0.3860735786597779	0.7154901894711094	0.019923532560304474	0.37876088109131517	0.042000229431633056	0.0064780121748407365	0.019923532560304474	0.3571428571428571	0.008927237508730214
Phenylobacterium	Kruskal-Wallis rank sum test	0	0	0	0.002	0	0	NA	NA	NA	6.374837460548524e-5	9.089488800748878e-5	0.07363827012030268	NA	NA	NA	5.009960124007518e-4	NA	NA	NA	0.05153354167145462	NA
Porphyromonadaceae Unclassified	Kruskal-Wallis rank sum test	0.493	0.49	0.021	0.635	0.483	0.4245	0.6451629618179946	0.0045149638802889575	7.058159232072275e-4	0.34531494282206726	0.34531494282206726	0.3846153846153846	0.3846153846153846	0.570380728593949	0.0045149638802889575	0.27142981318404336	0.2402670279964946	0.27142981318404336	0.016233766233766232	0.3846153846153846	0.3846153846153846
Turicibacter	Kruskal-Wallis rank sum test	0.062	0.043	0.019	0.061	0.06	0.095	0.34532716362049626	0.0157951905824845	0.0157951905824845	1	0.7532566443999422	0.5	0.8915792676068758	0.6072142271301633	0.0157951905824845	1	0.025862860230535543	0.024811791396004063	0.024811791396004063	0.34532716362049626	0.024811791396004063
Unclassified	Kruskal-Wallis rank sum test	0.009000000000000001	0.015	0	0.007	0.019	0.023	0.1600975168429513	0.006552928303892637	0.006552928303892637	0.8125242693153686	0.6094380474069118	0.3431720178867806	0.1600975168429513	0.7118775152417671	0.03113234849747261	0.525268602457614	0.08497810025196678	0.3398110787669377	0.03113234849747261	0.6593406593406592	0.46680059942274116
