genus	method	WM	C	WMR	CWM	RM	FRM	M1	1RM1	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-WM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	M1-WM	M1-C	M1-WMR	M1-CWM	M1-RM	M1-FRM	1RM1-WM	1RM1-C	1RM1-WMR	1RM1-CWM	1RM1-RM	1RM1-FRM	1RM1-M1
Akkermansia	Kruskal-Wallis rank sum test	0.03	0.20900000000000002	0.061	0.001	0.219	0.095	0.002	0.099	0.21026270880141862	1	0.46579063857203434	0.13934727477927936	0.0036715410259367328	0.06786277688469165	0.07846941916457863	0.46579063857203434	0.21026270880141862	5.010489711399374e-4	0.9050559616213429	0.46579063857203434	0.7877025507483121	0.4203716814880058	0.33217283197461345	0.5931848931615868	0.28231075195318844	0.46315123223506216	0.5931848931615868	0.07998484457820372	0.6588435289033033	0.46315123223506216	0.8439967833162147	0.10606060606060606	0.0036715410259367328	0.46315123223506216	0.8439967833162147	0.09523809523809523
Bacteroides	Kruskal-Wallis rank sum test	0.613	0.0035	0.718	0.033	0.255	0.001	0.48	0.3365	5.288809924587479e-4	0.4761573268360598	0.0070620021931429985	0.001516437988464389	0.19110788892966027	0.00793776282394093	0.060821994180085936	0.3873831125946371	0.0650324784635587	1	0.00793776282394093	0.1019444031751793	0.03266847456129429	0.00793776282394093	0.15179835089527433	0.19047619047619047	0.09041110965520704	0.19047619047619047	0.19047619047619047	0.4761573268360598	0.06932237177501462	0.0015082956259426846	0.15179835089527433	0.015151515151515152	0.4761573268360598	1	0.024350754699574408	0.0606060606060606
Bifidobacterium	Kruskal-Wallis rank sum test	0.001	0.0125	0	0.018	0.006500000000000001	0.017	0	0.0045000000000000005	7.687559654356541e-5	0.055535596458538554	0.005676147543254068	1.136535971176324e-4	0.028893227620816177	0.005676147543254068	0.015220201689290811	0.03974537357569958	0.015220201689290811	0.005676147543254068	0.015220201689290811	0.267190529465708	0.015220201689290811	0.5347941230382984	0.11958782377389424	0.12778658678230714	0.015220201689290811	NA	0.015220201689290811	0.04441784187004502	0.04441784187004502	0.015220201689290811	0.015220201689290811	0.015220201689290811	0.005925276741941874	0.4125950424831745	0.11958782377389424	0.03974537357569958
Butyricicoccus	Kruskal-Wallis rank sum test	0	5e-4	0.001	0	0	0	0	0	0.19800286779605544	0.08047639078770055	0.24890390093373865	0.24890390093373865	0.015402323399397755	0.00396895843866192	0.9653670509834341	0.24890390093373865	0.14126054075933844	0.24890390093373865	0.5278196581594992	0.679910338618881	0.24890390093373865	0.08047639078770055	0.6650629936204807	0.6650629936204807	0.24890390093373865	0.24890390093373865	NA	0.6650629936204807	0.5147892864385714	1	0.24890390093373865	0.19800286779605544	0.24890390093373865	0.9787892970549628	0.6650629936204807	0.7170208742631792
Clostridiales Unclassified	Kruskal-Wallis rank sum test	5e-4	0	0.001	0	0	0	0	0.0025	0.0011220054830875011	0.17169246444928696	6.680835343120245e-5	0.004657592608788308	NA	5.29194458488256e-4	0.012314866708690022	NA	0.0022172915398796476	NA	0.09166142175102453	NA	0.03457142191813023	NA	NA	0.17169246444928696	NA	0.09429399943949719	NA	NA	NA	0.021360942675391716	5.799031866097666e-6	0.6387714134450757	6.680835343120245e-5	3.3278758907772136e-4	0.010754970321226577	0.03457142191813023
Clostridium XlVa	Kruskal-Wallis rank sum test	0	0	0.004	0	0	0	0	0	0.1023567045104767	0.1023567045104767	0.7443801100006721	0.44314355627687174	0.03252077494475759	0.03252077494475759	0.20920526872668296	0.5267165912822867	0.35372174784876304	0.05298363284255306	0.7189411555792891	0.20920526872668296	0.20920526872668296	NA	0.2775372397969823	0.44314355627687174	0.7189411555792891	0.562405981265139	0.11719088476679891	1	0.4525493737175219	0.35372174784876304	0.562405981265139	0.37493378532694754	0.1023567045104767	1	0.39720845145572425	0.9475602005492749
Dorea	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	0.04574847242762348	0.2892315730329931	NA	0.07042979080765739	NA	NA	0.09513551084466236	NA	NA	NA	0.2892315730329931	NA	NA	NA	NA	0.36349997771655035	NA	NA	NA	NA	NA	0.9553873356761022	0.04574847242762348	0.2898920199947126	0.07159184198693926	0.10526301700060992	0.2898920199947126	0.4081557109625473
Enterobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0.1295	0.2465	0.002	0.571	0.17	0.545	0.072	0.0045000000000000005	0.0041620215533259	0.006953881733877288	0.0035165418830122607	3.6815758985633803e-6	0.0035165418830122607	0.0038629515817077903	0.250010187959545	0.4384653528035022	0.004738414076435527	0.005089612215563921	0.0030165912518853697	0.0041620215533259	0.018550363366916265	0.934170313245124	0.015437849347883949	0.6564102564102563	0.05865612648221344	0.047693442976654406	0.004815961472308222	0.21939799331103685	0.047693442976654406	0.005003654160664713	0.0030165912518853697	0.2987032931691682	0.003223545344149284	0.0035165418830122607	0.013946472792213132	0.04057331729040146
Erysipelotrichaceae Unclassified	Kruskal-Wallis rank sum test	0.0025	0	0.003	0.001	0	0	0	0.006500000000000001	0.011207514511240725	0.7495665673671281	0.014501683800416831	0.2361264020413905	0.12365179505380752	0.18001119523561995	0.0017102251805287533	0.044153329366303895	0.0017102251805287533	0.008642172922139422	0.08370692935559947	1	0.08370692935559947	0.28254482257788166	0.08370692935559947	0.10585982030060602	0.7943209462618365	0.09966092631954591	0.28254482257788166	0.1168177765468604	0.895308596556371	0.12032003024628599	0.014501683800416831	0.28254482257788166	0.08370692935559947	0.004397086264622417	0.0857732747027058	0.12942645671818206
Hungatella	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NA	0.05328288605492258	0.021937642645594252	NA	NA	0.042102146738472485	NA	NA	0.05328288605492258	NA	NA	NA	0.20966457735883318	NA	NA	NA	NA	0.3291139859786081	NA	NA	NA	NA	NA	0.1909323018901049	NA	NA	NA	NA
Lachnospiraceae Unclassified	Kruskal-Wallis rank sum test	0.022000000000000002	0.0935	0.094	0.001	0.032	0.093	0.024	0.052	0.012215707558482296	0.0726387603905652	0.9125360713122386	0.03061532770840877	3.547650533113876e-5	0.006626811842957055	0.350223915774176	0.0726387603905652	0.14856711915535445	0.0011171572719311104	0.3368414317080917	0.7724648040154326	0.905982905982906	0.04276101375339853	0.7724648040154326	1	0.148300395256917	0.15384615384615383	0.09842842714564494	0.5978021978021978	0.7272727272727272	0.16598579535962213	0.31060606060606055	0.31060606060606055	0.0064330147157548746	0.423703958674003	0.8872727272727273	0.3859649122807017
Lactobacillus	Kruskal-Wallis rank sum test	0.0185	0.063	0.008	0.0465	0.0285	0.083	0.017	0.0245	0.009940587225782251	0.0985508639395287	0.009940587225782251	0.06975181464948547	0.4093043714231162	0.017454984157887057	0.6255957056277652	0.009940587225782251	0.07692307692307691	0.0985508639395287	0.01266968325791855	0.4776260055714159	0.0247937294083789	0.191190049426973	0.009049773755656108	0.4776260055714159	0.03790687188845698	0.4882290049514624	0.09494324045407636	0.25230769230769234	0.07692307692307691	0.925303472392133	0.017454984157887057	0.12777109505702886	0.0985508639395287	0.3848674127057936	0.0247937294083789	0.32440612978167505
Parabacteroides	Kruskal-Wallis rank sum test	0	0	0	0	0	0	0	0	NA	0.05271637766844754	0.02178262687676917	NA	NA	0.04172849892695584	NA	NA	0.05271637766844754	NA	NA	NA	0.20651864668727143	NA	NA	NA	NA	0.32412658775761904	NA	NA	NA	NA	NA	0.1881832038385044	NA	NA	NA	NA
Peptostreptococcaceae Unclassified	Kruskal-Wallis rank sum test	0.0135	0.01	0	0.093	0.011	0.062	0.002	0	0.4778772850632916	0.06231954071965141	0.011480420064145853	0.008062510381762115	0.01123802732979303	0.01123802732979303	0.648720616213933	0.7446022172808279	0.028327027281191592	0.008062510381762115	0.02298575892364296	0.09565906139512598	0.02469290744640262	0.337034410076837	0.05007541478129714	0.40364607962373794	0.18938851207910037	0.1537219383356118	0.04358297048832713	0.3391490619780143	0.06231954071965141	0.030763366044014494	0.008062510381762115	0.8922951180849767	0.008062510381762115	0.012602484695907645	0.017092789390852636	0.09565906139512598
Porphyromonadaceae Unclassified	Kruskal-Wallis rank sum test	0.0015	5e-4	0.063	0.001	0	0.002	0.325	0.4445	0.6737146262646376	0.6081671508418323	0.4665016699157103	0.4665016699157103	0.763886451891227	0.389007904581125	0.6737146262646376	0.8771942846775744	0.5164017795196538	1	0.9477144761473923	0.7269178139667944	0.6737146262646376	0.389007904581125	0.702570101859182	0.042831374535507914	0.0247937294083789	0.08346352520914523	0.0247937294083789	0.0247937294083789	0.08346352520914523	0.005461256747497085	0.004291698016164133	0.0247937294083789	0.004535645340966923	0.005461256747497085	0.0247937294083789	0.10256410256410255
Ruminococcaceae Unclassified	Kruskal-Wallis rank sum test	0	0.018000000000000002	0.008	0	0.005	0.007	0	5e-4	0.0016956355828446346	0.025895378425441484	0.4855012401009434	0.06222654397909803	1.2319562183382725e-5	8.812674422760835e-5	0.007725989594337994	0.07449928786660091	0.5723353999456969	1.2319562183382725e-5	0.025895378425441484	0.4855012401009434	1	8.812674422760835e-5	0.6814164785226181	1	0.03359415383978558	0.053917400269455816	0.053169938459010614	0.02623942148369881	0.053917400269455816	0.5697998100745932	0.009552578625424154	0.03359415383978558	0.012962064837434121	0.02240619592656223	0.03914010317334129	0.6380321713785223
Turicibacter	Kruskal-Wallis rank sum test	0.0285	0.001	0.015	0	0.001	0	0.006	0.003	0.0020438169395384214	0.34896301450190675	0.017911700877871018	0.0020438169395384214	0.40018727706884016	0.010862571605482296	0.040273788359361566	0.6201323835505673	0.1408160051577558	0.34896301450190675	0.026212284341331233	0.18799019164263805	0.0388031402729184	0.33674575624689085	0.2479576816734252	0.1665158371040724	0.09998316122283558	0.2479576816734252	0.04031700888274576	0.38799104738373746	0.06108479314851017	0.05468407098742027	0.13157446317691035	0.14374248193915745	0.040273788359361566	0.4484701814245686	0.0388031402729184	0.5359959047908578
