genus	statistic	p.value	parameter	method	WM	C	WMR	CWM	WMN	p.value.adj
Firmicutes Unclassified	22.20041129183026	1.8282462500447653e-4	4	Kruskal-Wallis rank sum test	0	0.007	0	0	0	0.005850388000143249
Unclassified	20.51347662913682	3.953372325829401e-4	4	Kruskal-Wallis rank sum test	0	0.0275	0	0	0	0.006325395721327042
Peptostreptococcaceae Unclassified	18.758318209316393	8.766881278578853e-4	4	Kruskal-Wallis rank sum test	0.0085	0	0.001	0.07500000000000001	0	0.00935134003048411
Ruminococcaceae Unclassified	16.46981627296588	0.0024493870480333654	4	Kruskal-Wallis rank sum test	0.0495	0.0905	0.020999999999999998	0.04	0.0955	0.019595096384266923
Clostridium XlVb	15.165466044372296	0.004370050886855185	4	Kruskal-Wallis rank sum test	0	0.0055	0.002	0	0.0035	0.027968325675873186
Clostridiales Unclassified	13.842592592592595	0.007814756840217625	4	Kruskal-Wallis rank sum test	0.003	0.065	0.0025	0.002	0.0015	0.04167870314782733
Butyricicoccus	11.698628652798398	0.019738864341231097	4	Kruskal-Wallis rank sum test	0.006	0.0015	0.004	0	0.0015	0.07895545736492439
Porphyromonadaceae Unclassified	11.982751204404686	0.01747999369275365	4	Kruskal-Wallis rank sum test	0.138	0.213	0.0015	0.0025	0.001	0.07895545736492439
Bacteroides	11.386703158855056	0.022545115427163885	4	Kruskal-Wallis rank sum test	0.16949999999999998	0.0055	0.38	0.0045000000000000005	0.36250000000000004	0.08016041040769381
Blautia	10.372885699641214	0.03459373823799633	4	Kruskal-Wallis rank sum test	0	0	5e-4	0.002	5e-4	0.09422365211647134
Enterobacteriaceae Unclassified	10.3223638570933	0.03533386954367675	4	Kruskal-Wallis rank sum test	0.002	5e-4	0.0025	0.022	0.002	0.09422365211647134
Erysipelotrichaceae Unclassified	10.701233439926913	0.03013509647815243	4	Kruskal-Wallis rank sum test	0	0	0	0.0015	5e-4	0.09422365211647134
Anaeroplasma	8.778729401561163	0.06687452416500496	4	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0.16461421332924298
Acetatifactor	7.094245348035832	0.13099082185278604	4	Kruskal-Wallis rank sum test	0.0115	0.024	0.025500000000000002	5e-4	0.006	0.27944708661927686
Enterorhabdus	7.2637061403508865	0.12259168854988876	4	Kruskal-Wallis rank sum test	0	0	0.001	0	5e-4	0.27944708661927686
Clostridium IV	5.685724962630797	0.22388002919059025	4	Kruskal-Wallis rank sum test	0	0.001	0.001	5e-4	0	0.3741560724075432
Olsenella	5.422453703703681	0.24663041904519725	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.3741560724075432
Oscillibacter	5.330628453038668	0.2550233529698814	4	Kruskal-Wallis rank sum test	0.0025	0.0115	0.016	0.001	0.002	0.3741560724075432
Prevotella	5.500000000000026	0.23972947952515117	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.3741560724075432
Pseudoflavonifractor	6.002645270665275	0.1989508101407773	4	Kruskal-Wallis rank sum test	0.008	0.005	0.0025	0	0.0025	0.3741560724075432
Staphylococcus	5.500000000000026	0.23972947952515117	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.3741560724075432
Turicibacter	5.306893497885951	0.25723229978018597	4	Kruskal-Wallis rank sum test	0.0115	0.03	0.0215	0.064	0.017	0.3741560724075432
Akkermansia	4.682675814751291	0.3214328539513126	4	Kruskal-Wallis rank sum test	0.0665	0.006500000000000001	0.1265	0.109	0.006999999999999999	0.4472109272366088
Alistipes	3.9909420289855158	0.40723310075927827	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5429774676790377
Aurantimonadaceae Unclassified	3.333333333333299	0.5036682742335038	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5969401768693378
Bacillus	3.333333333333299	0.5036682742335038	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5969401768693378
Bifidobacterium	3.333333333333299	0.5036682742335038	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.5969401768693378
Clostridium XlVa	2.3093014621887127	0.6790760909738638	4	Kruskal-Wallis rank sum test	0.0125	0.011	0.013999999999999999	0.0375	0.009000000000000001	0.7760869611129871
Bacteroidales Unclassified	1.7726227659205251	0.7774871906871024	4	Kruskal-Wallis rank sum test	0	0	0	5e-4	0	0.7774871906871024
Coriobacteriaceae Unclassified	1.7857142857142756	0.7750949511812628	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.7774871906871024
Lachnospiraceae Unclassified	1.920472687877748	0.7503831814480149	4	Kruskal-Wallis rank sum test	0.40049999999999997	0.4025	0.39949999999999997	0.562	0.40650000000000003	0.7774871906871024
Lactobacillus	1.9467799130633863	0.7455469994789427	4	Kruskal-Wallis rank sum test	0.007	0.01	0.008	0.010499999999999999	0.006	0.7774871906871024
Acetitomaculum	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Acetobacteraceae Unclassified	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Acidaminococcaceae Unclassified	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Acidaminococcus	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Actinobacillus	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Actinomyces	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Actinomycetales Unclassified	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Aerococcus	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Aestuariispira	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Alloprevotella	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Alphaproteobacteria Unclassified	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
Anaerofustis	NaN	NaN	4	Kruskal-Wallis rank sum test	0	0	0	0	0	NaN
