genus	statistic	p.value	parameter	method	WM	C	WMN	CN	p.value.adj
Acetatifactor	15.499444814568063	0.0014359615344619596	3	Kruskal-Wallis rank sum test	0	0.02	5e-4	0.0225	0.013440413785459874
Bacteroides	15.627705627705623	0.0013517181376953699	3	Kruskal-Wallis rank sum test	0.438	0.038	0.6425000000000001	0.011	0.013440413785459874
Lactobacillus	15.34039548022599	0.0015476964689646272	3	Kruskal-Wallis rank sum test	0.006	0.035	0.006	0.0185	0.013440413785459874
Oscillibacter	17.20903131828112	6.401150796458781e-4	3	Kruskal-Wallis rank sum test	0	0.011	0	0.0155	0.013440413785459874
Ruminococcaceae Unclassified	15.166120934293822	0.0016800517231824843	3	Kruskal-Wallis rank sum test	0.0015	0.062	0.001	0.082	0.013440413785459874
Peptostreptococcaceae Unclassified	14.357224118316267	0.002457115573537085	3	Kruskal-Wallis rank sum test	0.0075	0	0	0	0.016380770490247235
Blautia	13.773711340206162	0.003229925456654868	3	Kruskal-Wallis rank sum test	0	0	0.001	0	0.017260689177641203
Unclassified	13.631522896698609	0.003452137835528241	3	Kruskal-Wallis rank sum test	0	0.003	0	0.0145	0.017260689177641203
Turicibacter	12.364325964456008	0.006233850927764294	3	Kruskal-Wallis rank sum test	0.009000000000000001	0.008	0.0435	0.025	0.027706004123396865
Butyricicoccus	12.027081751455329	0.007290963287421216	3	Kruskal-Wallis rank sum test	0	0	0	0.006500000000000001	0.029163853149684865
Clostridium XlVa	11.38744732756709	0.009805102755668977	3	Kruskal-Wallis rank sum test	0	0.024	0.001	0.026000000000000002	0.034968530452863814
Clostridium XlVb	11.241212121212113	0.010490559135859143	3	Kruskal-Wallis rank sum test	0	0.035	0	0.0075	0.034968530452863814
Pseudoflavonifractor	11.04644035832155	0.011477387288814036	3	Kruskal-Wallis rank sum test	0	0.003	0	0.007	0.0353150378117355
Dorea	9.415384615384623	0.02424877445930721	3	Kruskal-Wallis rank sum test	0.0015	0	5e-4	0	0.06928221274087774
Lachnospiraceae Unclassified	9.09177489177489	0.028095249803974414	3	Kruskal-Wallis rank sum test	0.298	0.452	0.1955	0.474	0.07492066614393177
Erysipelotrichaceae Unclassified	8.486331569664905	0.03696057026533934	3	Kruskal-Wallis rank sum test	0.002	0.011	0.006500000000000001	0.004	0.09240142566334834
Porphyromonadaceae Unclassified	8.005646036916396	0.0458951631293547	3	Kruskal-Wallis rank sum test	0.010499999999999999	0.095	0.013500000000000002	0.0215	0.10798861912789343
Clostridium IV	7.5799180327868685	0.055540184285324944	3	Kruskal-Wallis rank sum test	0	0	0	0.0015	0.12342263174516654
Bradyrhizobium	6.700000000000004	0.08210005961379813	3	Kruskal-Wallis rank sum test	0	0.001	0	0	0.16420011922759625
Phenylobacterium	6.719999999999962	0.08137854594210898	3	Kruskal-Wallis rank sum test	0	0	0	0	0.16420011922759625
Firmicutes Unclassified	6.206293706293709	0.10199375457265525	3	Kruskal-Wallis rank sum test	0	0.002	0	0	0.19427381823362905
Fusobacterium	5.263157894736828	0.15351096342182596	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26697558855969733
Ruminococcus	5.263157894736828	0.15351096342182596	3	Kruskal-Wallis rank sum test	0	0	0	0	0.26697558855969733
Enterobacteriaceae Unclassified	4.574338968357174	0.20575449830069492	3	Kruskal-Wallis rank sum test	0.028499999999999998	0.03	0.0435	0.0185	0.34292416383449154
Bacteroidales Unclassified	3.0676075268817216	0.3813184310529062	3	Kruskal-Wallis rank sum test	5e-4	0.002	0	0	0.5084245747372083
Barnesiella	3.2000000000000077	0.36180502749753124	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5084245747372083
Bifidobacterium	3.1576101649094337	0.3679573231698856	3	Kruskal-Wallis rank sum test	0	0	5e-4	0.001	0.5084245747372083
Enterorhabdus	3.1481481481481506	0.36934282957881814	3	Kruskal-Wallis rank sum test	0	0	5e-4	0	0.5084245747372083
Ralstonia	3.2000000000000077	0.36180502749753124	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5084245747372083
Terrisporobacter	3.2000000000000077	0.36180502749753124	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5084245747372083
Burkholderia	2.500000000000019	0.47529108334301773	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5591659804035503
Enterococcus	2.500000000000019	0.47529108334301773	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5591659804035503
Listeria	2.500000000000019	0.47529108334301773	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5591659804035503
Parabacteroides	2.500000000000019	0.47529108334301773	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5591659804035503
Akkermansia	2.4190476190476176	0.4900987638402386	3	Kruskal-Wallis rank sum test	0.109	0.08	0.033	0.126	0.5601128729602727
Coriobacteriaceae Unclassified	2.250000000000019	0.5221671895353874	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5801857661504305
Clostridiales Unclassified	2.1238799283154113	0.5470968186459769	3	Kruskal-Wallis rank sum test	0.003	0.004	0.002	0.0035	0.591456020157813
Staphylococcus	1.9166666666666587	0.5898816803053635	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6209280845319615
Olsenella	1.5789473684210429	0.6641727273084379	3	Kruskal-Wallis rank sum test	0	0	0	0	0.6812027972394235
Alistipes	0.17407407407407205	0.9816619475806403	3	Kruskal-Wallis rank sum test	0	0	0	0	0.9816619475806403
Acetitomaculum	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Acetobacteraceae Unclassified	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Acidaminococcaceae Unclassified	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Acidaminococcus	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Actinobacillus	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Actinomyces	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Actinomycetales Unclassified	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Aerococcus	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Aestuariispira	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Alloprevotella	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Alphaproteobacteria Unclassified	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
