genus	statistic	p.value	parameter	method	WM	C	WMC	WMN	p.value.adj
Acetatifactor	23.273572300005817	3.541305712584691e-5	3	Kruskal-Wallis rank sum test	0	0.015	0	0	4.1196466398549497e-4
Clostridiales Unclassified	23.2286411716843	3.6185335474336265e-5	3	Kruskal-Wallis rank sum test	0	0.008	0	0	4.1196466398549497e-4
Oscillibacter	23.219194794631967	3.634982329283779e-5	3	Kruskal-Wallis rank sum test	0	0.017	0	0	4.1196466398549497e-4
Ruminococcaceae Unclassified	21.05658744774766	1.024655153769891e-4	3	Kruskal-Wallis rank sum test	0	0.076	0	0	8.709568807044073e-4
Blautia	20.301778542742383	1.4697020641509786e-4	3	Kruskal-Wallis rank sum test	0.038	0	0.05	0.1545	9.942035467764064e-4
Lachnospiraceae Unclassified	19.930716633202465	1.754476847252482e-4	3	Kruskal-Wallis rank sum test	0.002	0.445	0	0.002	9.942035467764064e-4
Pseudoflavonifractor	18.876670928745792	2.899299391718048e-4	3	Kruskal-Wallis rank sum test	0	0.006	0	0	0.0014082311331201946
Clostridium IV	17.694444444444443	5.08506545913456e-4	3	Kruskal-Wallis rank sum test	0	0.002	0	0	0.0017289222561057502
Enterobacteriaceae Unclassified	17.81949232215607	4.7920728561770163e-4	3	Kruskal-Wallis rank sum test	0.235	0	0.234	0.236	0.0017289222561057502
Peptostreptococcaceae Unclassified	17.70688511202981	0.00050551360157841715	3	Kruskal-Wallis rank sum test	0.02	0	0.051	0	0.0017289222561057502
Clostridium XlVa	15.809286011533215	0.0012407786752802311	3	Kruskal-Wallis rank sum test	0	0.023	0	0	0.0038351340872298054
Firmicutes Unclassified	15.509840674789135	0.0014289435660507672	3	Kruskal-Wallis rank sum test	0	0.002	0	0	0.004048673437143841
Bacteroides	14.67829842829844	0.0021132620597002364	3	Kruskal-Wallis rank sum test	0.676	0	0.482	0.5065	0.005526993079216003
Butyricicoccus	12.89397420170252	0.00487159368533298	3	Kruskal-Wallis rank sum test	0	0.003	0	0	0.01178623578374518
Lactobacillus	12.754059421553983	0.005199809904593462	3	Kruskal-Wallis rank sum test	0.003	0.012	0.001	5e-4	0.01178623578374518
Unclassified	11.66112956810632	0.008638900834581126	3	Kruskal-Wallis rank sum test	0	0.002	0	0	0.018357664273484894
Turicibacter	11.237087368530663	0.01051056348441412	3	Kruskal-Wallis rank sum test	0	0.01	0	0.005	0.02102112696882824
Akkermansia	8.660101870869685	0.03416860484319077	3	Kruskal-Wallis rank sum test	0.001	0.262	0.137	0.0945	0.06454069803713812
Prevotella	6.945714285714223	0.07364831858601276	3	Kruskal-Wallis rank sum test	0	0	0	5e-4	0.13179172799602282
Anaeroplasma	6.473360655737711	0.09071903500723251	3	Kruskal-Wallis rank sum test	0	0	0	0	0.14410851169351505
Clostridium XlVb	6.410819824383648	0.09324668403698032	3	Kruskal-Wallis rank sum test	0	0	0	0	0.14410851169351505
Enterorhabdus	6.500000000000008	0.08966250398816761	3	Kruskal-Wallis rank sum test	0	0	0	0	0.14410851169351505
Anaerostipes	5.9428571428571	0.11442368874982281	3	Kruskal-Wallis rank sum test	0	0	0	0	0.16914806163017285
Bifidobacterium	4.153846153846173	0.24532357479071215	3	Kruskal-Wallis rank sum test	0	0	0	0	0.3475417309535089
Porphyromonadaceae Unclassified	3.9860666101965387	0.26297262030283497	3	Kruskal-Wallis rank sum test	0	0.002	0	5e-4	0.3576427636118556
Terrisporobacter	2.8571428571427395	0.4141793659679395	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5416191708811516
Alistipes	2.329462659380692	0.5069001528915819	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5724067044708915
Bacteroidales Unclassified	1.999999999999944	0.5724067044708915	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5724067044708915
Coriobacteriaceae Unclassified	1.999999999999944	0.5724067044708915	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5724067044708915
Erysipelotrichaceae Unclassified	2.166666666666653	0.5385438054098659	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5724067044708915
Olsenella	1.999999999999944	0.5724067044708915	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5724067044708915
Ruminococcus	1.999999999999944	0.5724067044708915	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5724067044708915
Staphylococcus	1.999999999999944	0.5724067044708915	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5724067044708915
Streptococcus	1.999999999999944	0.5724067044708915	3	Kruskal-Wallis rank sum test	0	0	0	0	0.5724067044708915
Acetitomaculum	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Acetobacteraceae Unclassified	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Acidaminococcaceae Unclassified	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Acidaminococcus	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Actinobacillus	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
Actinomyces	NaN	NaN	3	Kruskal-Wallis rank sum test	0	0	0	0	NaN
