genus	method	WM	C	WMC	WMN	C-WM	WMC-WM	WMC-C	WMN-WM	WMN-C	WMN-WMC
Acetatifactor	Kruskal-Wallis rank sum test	0	0.015	0	0	0.0018665824049212297	0.39187493197948514	7.978562808195951e-4	0.7892680261342813	0.07358779693419035	NA
Bacteroides	Kruskal-Wallis rank sum test	0.676	0	0.482	0.5065	0.007878667885672694	0.9092307692307693	0.007878667885672694	0.9092307692307693	0.07123695812308825	1
Blautia	Kruskal-Wallis rank sum test	0.038	0	0.05	0.1545	0.0021766494676456354	0.14545454545454545	0.0018701387213669158	0.08333333333333333	0.05437829041071095	0.14545454545454545
Butyricicoccus	Kruskal-Wallis rank sum test	0	0.003	0	0	0.1755242118960888	0.39187493197948514	0.009178018596485586	0.7892680261342813	0.1933030245231694	NA
Clostridiales Unclassified	Kruskal-Wallis rank sum test	0	0.008	0	0	0.0015035710665336596	0.5621147474611136	0.0010775950783901106	NA	0.07277881332873774	0.8136637157667919
Clostridium IV	Kruskal-Wallis rank sum test	0	0.002	0	0	0.007560862600117623	NA	0.005468010779993108	NA	0.1151089766853509	NA
Clostridium XlVa	Kruskal-Wallis rank sum test	0	0.023	0	0	0.023272739065280452	0.39187493197948514	0.009242976469073608	0.7892680261342813	0.1947559139298052	NA
Enterobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0.235	0	0.234	0.236	0.0013697850750426259	1	0.0013145959945081887	1	0.02165933577044801	1
Firmicutes Unclassified	Kruskal-Wallis rank sum test	0	0.002	0	0	0.012699879822592543	0.5621147474611136	0.012699879822592543	NA	0.1933030245231694	0.8136637157667919
Lachnospiraceae Unclassified	Kruskal-Wallis rank sum test	0.002	0.445	0	0.002	0.00434385142404527	0.03253708304016457	0.0019123564275224207	1	0.05454545454545454	0.5923342671438683
Lactobacillus	Kruskal-Wallis rank sum test	0.003	0.012	0.001	5e-4	0.058265168426801975	0.4293650070254011	0.02019525642140223	0.2731835115142421	0.08927847900711162	0.7079768746507207
Oscillibacter	Kruskal-Wallis rank sum test	0	0.017	0	0	0.0015189118238920737	0.5621147474611136	0.0010865188478210719	NA	0.07358779693419035	0.8136637157667919
Peptostreptococcaceae Unclassified	Kruskal-Wallis rank sum test	0.02	0	0.051	0	0.011811558219808668	0.35895104895104896	0.0019442473608215737	0.15220687028887178	0.5999972800889767	0.08927847900711162
Pseudoflavonifractor	Kruskal-Wallis rank sum test	0	0.006	0	0	0.041574653015263266	0.39187493197948514	7.907533466929071e-4	0.7892680261342813	0.07277881332873774	NA
Ruminococcaceae Unclassified	Kruskal-Wallis rank sum test	0	0.076	0	0	0.0022612581858719887	0.8764088983979282	0.0016308089484555663	0.8764088983979282	0.08927847900711162	0.8764088983979282
Turicibacter	Kruskal-Wallis rank sum test	0	0.01	0	0.005	0.04140981784593244	0.539630157562669	0.04140981784593244	0.21761886008109135	0.5454690372808709	0.33164889533980335
Unclassified	Kruskal-Wallis rank sum test	0	0.002	0	0	0.043019250460452504	NA	0.041850365761145515	NA	0.24741563004385103	NA
