genus	method	C	WMR	CWM	RM	FRM	WMR-C	CWM-C	CWM-WMR	RM-C	RM-WMR	RM-CWM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM
Acetatifactor	Kruskal-Wallis rank sum test	0.013999999999999999	0.001	0.001	0	0	0.0012733821629053981	0.0012733821629053981	0.7824941461149714	6.294078846671286e-4	0.45114646284595866	0.30037849150595536	0.0017690882127378402	0.04784340536267219	0.04784340536267219	0.19827745745215564
Akkermansia	Kruskal-Wallis rank sum test	0.037000000000000005	0.0145	0.2515	0.1915	0.10500000000000001	0.5973254128648737	0.0013553732229723225	0.015299487396926796	8.875227612608148e-5	0.015299487396926796	0.12834417157709113	0.08701611438272881	0.12834417157709113	0.014132052426407502	0.004309416074121957
Anaeroplasma	Kruskal-Wallis rank sum test	0	0	0	0	0	0.28716475344676734	0.07678129308855834	0.28716475344676734	0.12806703382935317	0.36785286076203644	NA	0.28716475344676734	0.5186050164287257	NA	NA
Bacteroidales Unclassified	Kruskal-Wallis rank sum test	0	0	0	0	0.0165	NA	0.3034399471999345	0.30750859871040553	NA	NA	0.3034399471999345	0.00773483694794201	0.009552870854920178	0.00773483694794201	0.00773483694794201
Bacteroides	Kruskal-Wallis rank sum test	0.12150000000000001	0.56	0.1665	0.487	0.29100000000000004	8.653862201200883e-4	0.23466163171284798	0.025576119241031113	0.0072810466173050545	0.23466163171284798	0.31062297450722953	0.13805650284821033	0.004995004995004995	0.8151866831102711	0.04891187244128421
Bifidobacterium	Kruskal-Wallis rank sum test	0.001	0	0	0	0.013	0.24507904871147107	0.0870361137628402	0.8803994601782463	0.4914397309766536	0.7482039377164328	0.5233351493390832	0.058530822537622026	0.0870361137628402	0.019911603101072217	0.058530822537622026
Butyricicoccus	Kruskal-Wallis rank sum test	0.003	0.003	0	0	0	0.6600765777025142	1.3043241194795317e-4	1.3043241194795317e-4	0.07330344213766213	0.04357482062458219	0.012263798935687168	0.07330344213766213	0.06434318845117176	0.0374700746719089	0.8301610401121512
Clostridiales Unclassified	Kruskal-Wallis rank sum test	0.012	0.0025	5e-4	5e-4	0	0.024780662087320705	8.400865685006564e-4	0.3793253422619632	8.400865685006564e-4	0.2076181372256655	0.601681454767329	0.0030639741993217207	0.08418233089759407	0.2076181372256655	0.29961755273534696
Clostridium IV	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.008062666232925965	0.5295292619646947	0.06627910027844816	0.007121180593038493	NA	0.05308833649574682	0.10584612365326063	0.3153575787515651	0.3171480514494429	0.29227597291330415
Coriobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0.0015	0	0	0	0	0.004850971720007155	0.004850971720007155	0.43977230647848015	0.008816212899698066	0.4087968613446214	0.9071751049345987	0.051009703565086446	0.4087968613446214	0.9071751049345987	1
Enterobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0	5e-4	0.0095	0.007	0.0055	0.62436103928875	0.007319428971284416	0.05523911820743616	0.043632227172346424	0.14970096165503344	0.62436103928875	0.08521282917502396	0.29895386325945356	0.62436103928875	0.8877554954190772
Firmicutes Unclassified	Kruskal-Wallis rank sum test	0.002	0	0	0	0	0.0012302681623128785	4.308588062588005e-5	NA	0.002422688458631049	0.4798660904056356	0.3463509328666222	0.006442665016384263	NA	NA	0.5556897902827946
Lachnospiraceae Unclassified	Kruskal-Wallis rank sum test	0.2815	0.1255	0.101	0.108	0.053000000000000005	0.005153106224141632	0.13514145707896957	0.9228696999594833	0.0049553354170395495	0.9228696999594833	0.9228696999594833	0.005153106224141632	0.3764093049807336	0.3764093049807336	0.3594053005817712
Lactobacillus	Kruskal-Wallis rank sum test	0.0195	0.011	0.0275	0.0465	0.028	0.03491534433977139	0.4953404860621142	0.030706203563354812	0.030706203563354812	0.0019089553694226558	0.03491534433977139	0.27893958185731393	0.030706203563354812	1	0.03491534433977139
Oscillibacter	Kruskal-Wallis rank sum test	0.012	0.0015	0	0	0	0.014665808228324858	3.389155457989909e-5	0.12963185827807666	5.1085358213985224e-5	0.016084601331918816	0.13172872630284074	0.002583973384153149	0.16796592212881906	0.7420606850674594	0.21650072067652162
Peptostreptococcaceae Unclassified	Kruskal-Wallis rank sum test	0	0	0.002	5e-4	0	0.25723253818580694	0.01309664616832515	0.10009005330407464	0.03516348470287392	0.27957619790869864	0.38496204263453265	0.12145732730839606	0.631335858909797	0.33094845554567315	0.642755659841566
Porphyromonadaceae Unclassified	Kruskal-Wallis rank sum test	0.29200000000000004	0	0	0.0015	0.3515	0.017241715786651724	1.4956126188209957e-4	0.4770868087851085	0.0016664646964960805	0.9158018812498854	0.15581232492997202	0.15581232492997202	0.006329115012736823	8.509371847474763e-4	0.0019379800381148613
Pseudoflavonifractor	Kruskal-Wallis rank sum test	0.001	0	0	0	0	0.03901928554432432	0.00540851874691872	0.9704247181218485	0.003629786102223728	0.25723253818580694	0.2578029623486016	0.055743886189718816	0.9704247181218485	1	0.2783580694412421
Ruminococcaceae Unclassified	Kruskal-Wallis rank sum test	0.05	0.0055	0.005	0.001	5e-4	0.0010361155871991784	0.005694438755721917	0.7182978678850894	3.7913910793632927e-4	0.048140878258956424	0.027574726367488128	0.0028765858708300466	0.0353737591798628	0.02538643595761607	0.6917194137324927
Unclassified	Kruskal-Wallis rank sum test	0.006	0	0	0	0.001	1.1181110403794356e-4	2.4669252334741847e-6	NA	8.173327893425046e-5	0.41131379177625904	0.2783177139106786	0.007320085460241288	0.03126790331205394	0.004730404589257907	0.05890003733206676
