otu	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	WMN	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-WM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	WMC-WM	WMC-C	WMC-WMR	WMC-CWM	WMC-RM	WMC-FRM	M1-WM	M1-C	M1-WMR	M1-CWM	M1-RM	M1-FRM	M1-WMC	WMN-WM	WMN-C	WMN-WMR	WMN-CWM	WMN-RM	WMN-FRM	WMN-WMC	WMN-M1
Bacteroides (OTU 1)	Kruskal-Wallis rank sum test	0.539	0.062	0.6185	0.069	0.05	0.076	0.718	0.0795	0.31	2.9176235125414864e-4	0.18533141021727584	1.5239868683648475e-4	6.656958602038694e-5	0.8689665558151618	1.9817564265671501e-4	1.905215527506549e-4	0.18962494162931426	5.216294565499908e-4	0.18533141021727584	0.002997002997002997	0.9553320489108396	0.004911814635773792	0.9424984495031384	0.3756980914350766	0.5161290322580645	0.18533141021727584	0.5137723425111441	0.18533141021727584	0.23076923076923078	0.3673469387755102	0.002997002997002997	0.3636129849991898	0.004911814635773792	0.5689744879878833	0.16612798965740144	0.6422668240850059	0.3673469387755102	0.0675058275058275	0.02712097090832631	0.021909978566325317	0.024937991070714184	0.021909978566325317	0.12552153728624318	0.31999999999999995	0.12552153728624318
Enterobacteriaceae (OTU 2)	Kruskal-Wallis rank sum test	0.1875	0.001	0.003	0.001	0	0	0.174	5e-4	0.40049999999999997	9.111815234251609e-4	0.028598776107336805	0.1227103187531367	7.407747874680508e-4	0.6865861147319039	0.028598776107336805	9.121443671531752e-4	0.2387652883217414	0.024425066231610254	0.414014382467774	0.007473284393728482	0.4934210200105573	0.07446879065273661	0.6865861147319039	0.955354481936032	0.9142857142857141	0.23425231386994871	0.5651723635872349	0.1888111888111888	0.18630926275545226	0.2554227778893965	0.007473284393728482	0.6865861147319039	0.10162630052247193	0.8399527913418796	0.7308812460560935	0.8399527913418796	0.2853738966499728	0.1888111888111888	7.407747874680508e-4	0.007473284393728482	7.407747874680508e-4	9.121443671531752e-4	0.007473284393728482	0.75	0.007473284393728482
Akkermansia (OTU 3)	Kruskal-Wallis rank sum test	0	0.003	0.1075	0.008	0.0015	5e-4	0.038	0.0025	5e-4	0.11517127863380826	0.11517127863380826	0.11517127863380826	0.005004381079145256	0.11517127863380826	0.20866773646053746	0.11517127863380826	0.7512526406626362	0.20866773646053746	0.11517127863380826	0.5863108932377422	0.5249362429245815	0.19225116516281016	0.11517127863380826	0.4843265968312474	0.23408996367913976	0.20866773646053746	0.7512526406626362	0.35531910264184585	0.4728323420053654	0.3045397961030909	0.20866773646053746	0.7512526406626362	0.20866773646053746	0.11517127863380826	1	0.825893996088134	0.30456022867827	0.7659824919993022	0.11517127863380826	0.13794253299893564	0.005004381079145256	0.13794253299893564	0.7512526406626362	0.24418101298333522	0.23408996367913976
Lachnospiraceae (OTU 4)	Kruskal-Wallis rank sum test	0	0.0165	0.01	0.037	0.0175	0.0115	0.001	0.047	0	0.005760741067317657	0.07574478009195872	0.4517251545738182	0.005106532593089906	0.09618492486890115	0.05309120063453544	0.011238101996814525	1	0.22085878780143559	0.07574478009195872	0.07574478009195872	0.6683502479274666	0.8761889565607508	0.18865291515354946	0.5971582006495854	0.7307076628357271	0.19339226157124564	0.5491108618060917	0.22085878780143559	0.22085878780143559	0.663594470046083	0.013636805960894643	0.05632945010513569	0.04784299529736725	0.34159530069493776	0.051330516901588845	0.19339226157124564	0.2983626693681088	1	0.013461398686621676	0.10337426014674637	0.022440896303956247	0.029275071394538506	0.1606146133891676	0.6192035225323037	0.06168736931915765
Turicibacter (OTU 5)	Kruskal-Wallis rank sum test	0.0205	0.055	0.009000000000000001	0.064	0.0315	0.033	0	0.022000000000000002	0.0155	0.4675324675324675	0.39154970700876207	0.021979174011059806	0.39154970700876207	0.4713312391546636	0.00357273960891655	0.5752878536197549	0.4675324675324675	0.04390152881809846	0.3068048813845616	0.589010989010989	0.8239115653444067	0.14952936516904577	0.4675324675324675	0.7866329146174315	0.4675324675324675	0.39154970700876207	0.4675324675324675	0.39154970700876207	0.39154970700876207	0.4675324675324675	0.6294876641874951	0.29892188604441305	0.6376790457782141	0.14952936516904577	0.4675324675324675	0.5024591169890998	0.5610667256370135	1	0.53362479168687	0.4675324675324675	0.39154970700876207	0.5562475255991913	0.5265060512127038	0.4675324675324675	0.6294876641874951
Porphyromonadaceae (OTU 6)	Kruskal-Wallis rank sum test	5e-4	0.1445	0	0.147	0.219	0.244	0.001	0.1545	0	4.1673103367297293e-4	0.4313417674762213	2.742311286532638e-4	4.1673103367297293e-4	0.675096957876953	3.352328016882493e-4	0.0010497420828964152	0.10200512677457094	4.1673103367297293e-4	0.05362329363896501	0.005117006793899958	0.06664531198272541	0.002713375268291729	0.023813934253122646	0.4313417674762213	0.8859801232855248	0.19430955061904698	0.4393410858450452	0.19510412860796494	0.23076923076923078	0.3956043956043956	0.005117006793899958	0.9108161434626877	0.002713375268291729	0.675096957876953	0.19510412860796494	0.11688311688311688	0.3956043956043956	0.8865693393837945	4.1673103367297293e-4	0.628688732135683	4.1673103367297293e-4	0.0011957659134954584	0.005117006793899958	0.8859801232855248	0.005117006793899958
Porphyromonadaceae (OTU 7)	Kruskal-Wallis rank sum test	0	0.0445	0	0.037	0.049	0.0165	0	0.0245	0	0.001151065825708174	0.9518390371032277	0.02971617266993155	0.001151065825708174	0.5185501821876317	0.03794949141310114	0.0017556779229090588	0.7779487127133673	0.04802776383440364	0.4130265052528193	0.04802776383440364	0.2781327791354017	0.12223782309103477	0.32472962540544004	0.23091529013773332	0.774465297443243	0.23091529013773332	0.7779487127133673	0.23091529013773332	0.25287082056680127	0.41142857142857137	0.02971617266993155	0.26263195245526827	0.12972612871710282	0.4130265052528193	0.23091529013773332	0.9518390371032277	0.41142857142857137	0.9518390371032277	0.001151065825708174	0.9518390371032277	0.001151065825708174	0.0015807227618762324	0.03934086643518754	0.774465297443243	0.02971617266993155
Porphyromonadaceae (OTU 8)	Kruskal-Wallis rank sum test	0	0.016	0	0.016	0.025	0.0305	0	0.026000000000000002	0	4.340052331441444e-4	0.9219773065888001	2.6116442431643576e-4	5.011943239060475e-4	0.7546945240761845	2.749581828905849e-4	8.042905253852321e-4	0.04905190669836567	4.340052331441444e-4	0.06648373015744877	0.0033129574590308243	0.06648373015744877	0.0013811151945440606	0.11695653672038882	0.6566959422573877	1	0.18401762289941467	1	0.1917353568515496	0.2107256838056677	0.3956043956043956	0.0033129574590308243	0.0823156789837013	0.0013811151945440606	0.0823156789837013	0.7546945240761845	0.8925619834710744	0.3956043956043956	0.7320964496379995	6.994930286755016e-4	0.548418389035012	6.994930286755016e-4	8.071483082191685e-4	0.003816228098988575	0.8897426133082023	0.003816228098988575
Lactobacillus (OTU 9)	Kruskal-Wallis rank sum test	0.004	0.0045000000000000005	0	0.006	0.007	0.007	0.029	0.003	0.006	0.9274739687278267	0.03375106011936474	0.004784041497541305	0.9274739687278267	0.9274739687278267	0.0037928949156126384	0.9364492785350278	0.9274739687278267	0.023321380221662004	0.9274739687278267	0.9274739687278267	0.9274739687278267	0.012633204522714683	1	0.9274739687278267	0.700726332766711	0.4010526017952221	0.4010526017952221	0.4010526017952221	0.4010526017952221	0.4972711156135146	0.9274739687278267	0.9364492785350278	0.029884160623763652	0.9274739687278267	0.9274739687278267	0.9274739687278267	0.4972711156135146	0.549325337765032	0.4010526017952221	0.004784041497541305	0.7297689034996013	0.832811687034572	0.9274739687278267	0.9274739687278267	0.4010526017952221
Porphyromonadaceae (OTU 10)	Kruskal-Wallis rank sum test	0	0.036000000000000004	0	0.051	0.0475	0.0435	0.001	0.028999999999999998	0	5.061608084232128e-4	0.8885447727252247	2.6427628059194814e-4	5.061608084232128e-4	0.18846870441756938	2.775338215242804e-4	8.09022285234018e-4	0.37767923390514274	5.061608084232128e-4	0.8885447727252247	0.0033129574590308243	0.4734898647708799	0.0013811151945440606	0.8885447727252247	0.8885447727252247	0.3169673125124574	0.24839133886133213	0.1335294872818198	0.2222222222222222	0.25385695293728966	0.42857142857142855	0.0033129574590308243	0.8885447727252247	0.0013811151945440606	0.4734898647708799	0.8885447727252247	0.7557049170551551	0.33904848791830544	0.7320964496379995	5.213496517126003e-4	0.5288320179980474	5.213496517126003e-4	8.117476195254754e-4	0.003816228098988575	0.4734898647708799	0.003816228098988575
