otu	method	WM	C	WMR	CWM	RM	FRM	WMC	M1	1RM1	C-WM	WMR-WM	WMR-C	CWM-WM	CWM-C	CWM-WMR	RM-WM	RM-C	RM-WMR	RM-CWM	FRM-WM	FRM-C	FRM-WMR	FRM-CWM	FRM-RM	WMC-WM	WMC-C	WMC-WMR	WMC-CWM	WMC-RM	WMC-FRM	M1-WM	M1-C	M1-WMR	M1-CWM	M1-RM	M1-FRM	M1-WMC	1RM1-WM	1RM1-C	1RM1-WMR	1RM1-CWM	1RM1-RM	1RM1-FRM	1RM1-WMC	1RM1-M1
Bacteroides (OTU 1)	Kruskal-Wallis rank sum test	0.586	0.001	0.515	0.011	0.003	0.002	0.012	0.721	0.5275000000000001	4.535785079248598e-6	0.01896633898322698	1.0103249092894813e-4	0.003971109549169571	0.016746347522185543	0.0065180222056355494	1.8197117762416864e-4	0.7045821571993216	0.0011168240556266493	0.07858468238534681	0.0023721319229329796	0.7156640411162862	0.004093178863144826	0.013583222082813085	0.8319764527534321	0.04582814695833005	1	0.04582814695833005	1	1	1	0.0065180222056355494	0.001005910736119492	0.0023721319229329796	0.013583222082813085	0.0029737954007833934	0.010584264208409919	0.09523809523809523	0.120945121276981	0.001005910736119492	0.6978883185779738	0.013583222082813085	0.0029737954007833934	0.010584264208409919	0.09523809523809523	0.005994005994005994
Enterobacteriaceae (OTU 2)	Kruskal-Wallis rank sum test	0.177	0.674	0.002	0.511	0.843	0.7484999999999999	0.881	0.14700000000000002	0.0395	2.1997164115357385e-5	0.018620571033567585	1.0466498823452131e-4	0.0013268465280849183	0.09844880861576001	0.01038961038961039	2.343419550368215e-4	0.014152183832461945	0.001028761336604863	0.023739398716507487	0.0021174142003590867	0.10964685873959992	0.003927882093185101	0.036283983359705646	0.54162499902694	0.025210084033613443	0.08891923292830989	0.061816312337023394	0.10964685873959992	0.24739789759515715	0.24739789759515715	0.08173360279585953	0.001337585541439887	0.08173360279585953	0.01038961038961039	0.0028771706315554864	0.010584264208409919	0.08993546507145991	3.3171163202122956e-4	0.001028761336604863	0.08993546507145991	0.01038961038961039	0.0028771706315554864	0.010584264208409919	0.08993546507145991	0.16235907037014255
Akkermansia (OTU 3)	Kruskal-Wallis rank sum test	0	0.001	0.1495	0.002	0.001	0	0.006	0	5e-4	0.7668680975491439	0.06459232899181916	0.06459232899181916	0.7320392124338061	0.77975032426354	0.2217579741256803	0.9497230356146465	0.7668680975491439	0.06459232899181916	0.7271858775266844	0.7271858775266844	0.28003724385230894	0.06459232899181916	0.2044507277300721	0.4339608911982618	0.7320392124338061	0.7668680975491439	0.44237561357691724	0.9226968329855729	0.7320392124338061	0.39250430183764945	0.6784143511854842	0.2217579741256803	0.06459232899181916	0.08441563769109085	0.28003724385230894	0.9497230356146465	0.28003724385230894	1	0.7668680975491439	0.08325786332122267	0.7320392124338061	0.9226968329855729	0.7320392124338061	0.7320392124338061	0.7320392124338061
Lachnospiraceae (OTU 4)	Kruskal-Wallis rank sum test	0	0	0.0195	0.001	0	0	5e-4	0	0	0.48961910942674663	0.0012759719614697897	0.001039496600987437	0.036644334243123015	0.3030299845096792	0.09854067611688143	0.4021406633015182	0.8208962101773262	0.010950183653692831	0.48961910942674663	0.940902222168422	0.6889083612342146	0.026888866093135785	0.1890967782226819	0.6329029910448537	0.48961910942674663	0.8149340959659708	0.3030299845096792	0.7490473377196871	0.940902222168422	0.6777754314028606	0.940902222168422	0.6889083612342146	0.026888866093135785	0.1890967782226819	0.6329029910448537	1	0.6777754314028606	0.6329029910448537	0.4021406633015182	0.02425558855909519	0.05440511316779902	0.35689942341388015	0.6329029910448537	0.3573952156290376	0.6329029910448537
Turicibacter (OTU 5)	Kruskal-Wallis rank sum test	0.07	0	0.0315	0	0	0	0	0.041999999999999996	0.019	0.0016277878592470606	0.08734196635552742	0.0020824910432273224	0.027308827148196508	0.5894488976259465	0.018322071631773088	0.01584220725782369	0.7739422703413154	0.01584220725782369	0.776737294805725	0.01584220725782369	0.1733867631269339	0.013892150550495162	0.4631982780738009	0.3086109400435067	0.1311229774805217	0.4631982780738009	0.11132600094923897	0.7739422703413154	0.5931422673002918	NA	0.28908395251815916	0.002476911680048358	0.6835654907338976	0.018135242851798402	0.018135242851798402	0.013892150550495162	0.11132600094923897	0.11132600094923897	0.004457544439953394	0.46447020337174366	0.018135242851798402	0.018608512054818366	0.013892150550495162	0.11132600094923897	0.3999517086210866
Porphyromonadaceae (OTU 6)	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0.001	0.0195	0.14300000000000002	0.41921687330498086	0.38630121208731477	0.16774211661959026	0.07993458430889372	0.20376525316827682	0.03336785726390283	0.5122527286657041	0.889296854347793	0.20376525316827682	0.20893393907489477	0.4257481619172475	0.889296854347793	0.15374316589402737	0.38630121208731477	0.889296854347793	0.27877911963613394	0.5535742541552171	0.10601122778026228	0.889296854347793	0.5122527286657041	0.6341657193571197	0.0074024003819004956	0.009245645617370034	0.0074024003819004956	0.22834987155051686	0.026081715351671312	0.09386711776355497	0.41921687330498086	0.0013152591984438777	7.175314534127844e-4	0.0028347585023211553	0.026081715351671312	0.003412386494004787	0.017316017316017316	0.15374316589402737	0.017316017316017316
Porphyromonadaceae (OTU 7)	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0	0	0.05600000000000001	0.19855543285811036	0.2376340571645404	0.6879549304846027	0.0427376772545549	0.26141098676439534	0.7765428195791054	0.566882126943172	0.14274577142865713	0.14634394527502315	0.030154129465497524	0.6806664806398768	0.26141098676439534	0.30608757510420087	0.14274577142865713	NA	0.8551321405847059	0.566882126943172	0.6102799004376656	0.44013704556092476	NA	NA	0.6372375903356713	0.6228925731321865	0.6102799004376656	0.26141098676439534	0.32150357020463455	0.566882126943172	0.7969809299558365	6.05690976475504e-4	6.05690976475504e-4	0.14274577142865713	0.03689884768251837	8.234318523952973e-4	0.02292204840831702	0.16533750969662386	0.024186014094254363
Porphyromonadaceae (OTU 8)	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	5e-4	0.013	0.0235	0.174993422423312	NA	0.24912739127015116	9.983248487859678e-4	0.005847779518006725	0.0058468110911737235	NA	0.21577155568151105	NA	0.0028742668109550985	NA	0.35541871270718317	NA	0.025973187892820906	NA	0.01985088250135678	0.3183289109433138	0.06974422880280413	0.41697558909705595	0.041241120077331564	0.1942365302331726	6.957267064677274e-4	6.957267064677274e-4	0.0037012001909502478	0.09519927541493282	0.0017666864456072212	0.019243439171518273	0.21577155568151105	2.0893946526530518e-4	1.1476641760075425e-4	9.983248487859678e-4	0.0167722034920538	6.957267064677274e-4	0.006287381055967858	0.09519927541493282	0.3183289109433138
Lactobacillus (OTU 9)	Kruskal-Wallis rank sum test	0.007	0.121	0.005	0.195	0.086	0.1315	0.038	0.0015	0.006	6.691224349163998e-6	0.1673894020295814	1.0333915618429035e-4	0.004006484684818578	0.13714285714285712	0.007124468411781548	2.8472703118298114e-4	0.17469814685727444	0.0010261823107103056	0.03690725144905229	0.0034949054758275427	0.9441731983622492	0.004006484684818578	0.3820695433598659	0.42223979520117055	0.10194723918052699	0.09994576768832421	0.10194723918052699	0.13714285714285712	0.16654505862398444	0.17733990147783252	0.06278196205555991	0.0010261823107103056	0.40847032295473357	0.017931179304274028	0.0034949054758275427	0.012852320824497759	0.10194723918052699	0.3489009098143347	0.0010261823107103056	0.6324513056815212	0.017931179304274028	0.0034949054758275427	0.012852320824497759	0.10194723918052699	0.40847032295473357
Porphyromonadaceae (OTU 10)	Kruskal-Wallis rank sum test	0	0	0	0.001	0	0	0	0.001	0.059000000000000004	0.16007996926893114	0.2180136967831247	0.8196681740592625	0.013916673315835711	0.2948908155964502	0.25587650542290186	0.4154045368508846	0.4084605157667673	0.6344807120546978	0.10675494740111945	0.272254311772273	0.7847279969780923	0.9361862934730594	0.2948908155964502	0.7788276376101656	NA	0.6528611665029366	0.7629305094896204	0.4084605157667673	0.8629110889265857	0.8196681740592625	0.012810229740864392	0.10916174944890344	0.16007996926893114	0.7629305094896204	0.052807517877834345	0.2180136967831247	0.35126376949858273	0.0040584057877284105	0.012810229740864392	0.04057944412276862	0.25587650542290186	0.012810229740864392	0.09086816711079808	0.25587650542290186	0.3550573449927099
Lachnospiraceae (OTU 11)	Kruskal-Wallis rank sum test	0	0	0.0045000000000000005	0	0	0	0	0	0	0.20296978985017083	0.025677397624647557	0.06258409792891131	0.3061321152563623	0.8855017992901419	0.3061321152563623	0.5143103789582382	0.5143103789582382	0.06548915270234537	0.6461651638602879	NA	0.44742925760324875	0.12642322807932344	0.5218928412044804	0.6461651638602879	NA	0.6461651638602879	0.44742925760324875	0.81448210354967	0.8717867458412594	NA	NA	0.44742925760324875	0.12642322807932344	0.5218928412044804	0.6461651638602879	NA	NA	NA	0.44742925760324875	0.12642322807932344	0.5218928412044804	0.6461651638602879	NA	NA	NA
Peptostreptococcaceae (OTU 12)	Kruskal-Wallis rank sum test	0.016	0.139	0	0.08	0.020999999999999998	0.0905	0.003	0.0015	0	4.259937171517261e-5	0.0016550978715640526	6.082936414928048e-5	0.07055161568322096	0.430077416053306	0.007421975274700014	0.28172853347160925	0.0010358397965257748	0.0011071197094621136	0.12668041177544292	0.0036363558439922485	0.19858331208874283	0.0012148965009947808	0.9573283858998145	0.021816418875242403	0.21843278511140987	0.05403662440997338	0.0757223055573302	0.28172853347160925	0.1915814493513545	0.11509589118462311	0.12126066353403721	0.0012148965009947808	0.014036871460290873	0.12006340553746973	0.045493470821467284	0.013840960887920662	1	0.015389148331479292	0.0012007857415694376	0.28172853347160925	0.05403662440997338	0.007421975274700014	0.01099364277011562	0.4175270060566102	0.11509589118462311
Porphyromonadaceae (OTU 14)	Kruskal-Wallis rank sum test	0	0	0	0	0	0	5e-4	0	0.0075	0.45359491477748337	NA	0.4940943048992896	0.26492202281800586	0.4940943048992896	0.35839727219500217	NA	0.4926960388993346	NA	0.3111606955843958	NA	0.581690291699074	NA	0.4926960388993346	NA	0.05293568667028474	0.23803200347540807	0.1472378163614754	0.837051553067067	0.09279252017399602	0.3111606955843958	0.3111606955843958	0.581690291699074	0.3872812370633255	0.8922951180849767	0.35839727219500217	0.4940943048992896	0.581690291699074	0.0017393167661693186	0.001014361443458834	0.009253000477375619	0.2066832606236151	0.00471116385495259	0.05293568667028474	0.3872812370633255	0.08901371472078179
Lachnospiraceae (OTU 16)	Kruskal-Wallis rank sum test	0.005	0	0.0025	0	0	0	0	0.017	0.001	4.975594924051041e-5	0.10475891088060896	2.7761238094522686e-4	0.02326946018108831	0.576869755008619	0.0272744427609329	0.004146531686703337	0.8850581711477402	0.01622704399691505	0.6796762045309396	0.016398533281305794	0.562035896989727	0.02325676273576406	NA	0.6549201099761508	0.14281581477816352	0.7276166416129417	0.1635342413972682	NA	0.8644520015853834	NA	0.576869755008619	5.217813409605156e-4	0.2133235884809439	0.034828878198124066	0.01427171418221963	0.024424365102311652	0.18642431109382854	0.13074143503100624	0.0011654590395067746	0.6796762045309396	0.03457755710075099	0.02326946018108831	0.024424365102311652	0.18040293005606542	0.20943364372345838
Lachnospiraceae (OTU 17)	Kruskal-Wallis rank sum test	0.019	0	0.0035	0	0	0	0	0.0025	0.004	3.1328631020744027e-4	0.0734235145830165	0.0034290448500232857	0.04381514821301719	0.7485361464369827	0.07170944621537072	0.03875912079599184	0.20713812343758725	0.47899408257920534	0.5695547528428443	0.028007428263310534	0.5330087711322903	0.037517850820039104	0.5058345999366501	0.22142103491896323	0.1700856484651955	0.7485361464369827	0.19512159034334306	0.7973950664122643	0.5330087711322903	NA	0.1700856484651955	0.005595372546800937	0.8079564850036249	0.08679649852953766	0.49849935475871804	0.03875912079599184	0.20713812343758725	0.15461302267704238	0.005595372546800937	1	0.0734235145830165	0.5314189603847729	0.03875912079599184	0.20713812343758725	0.6662918173824904
