otu	statistic	p.value	parameter	method	WM	C	WMR	CWM	WMN	p.value.adj
Bacteria (OTU 43)	53.969397390455285	5.340905529131444e-11	4	Kruskal-Wallis rank sum test	0	0.017	0	0	0	2.211134889060418e-8
Clostridiales (OTU 35)	51.85191021860016	1.4813984140305052e-10	4	Kruskal-Wallis rank sum test	0	0.032	0	0	0	3.0664947170431456e-8
Ruminococcaceae (OTU 50)	49.496878399902094	4.598755583948651e-10	4	Kruskal-Wallis rank sum test	0.001	0.005	0	0	0.021	6.346282705849138e-8
Lachnospiraceae (OTU 81)	46.66582320592671	1.789943499676716e-9	4	Kruskal-Wallis rank sum test	0	0.002	0	0	0.009999999999999998	1.852591522165401e-7
Lachnospiraceae (OTU 112)	45.74285348676641	2.785761607089501e-9	4	Kruskal-Wallis rank sum test	0	0.005	0	0	0	2.3066106106701067e-7
Lachnospiraceae (OTU 73)	44.38654927733904	5.3326779874033855e-9	4	Kruskal-Wallis rank sum test	0	0.003	0	0	0	3.679547811308336e-7
Lachnospiraceae (OTU 131)	43.45814101187917	8.313162276786185e-9	4	Kruskal-Wallis rank sum test	0	0.002	0	0	0	4.916641689413544e-7
Lachnospiraceae (OTU 29)	41.8143865903365	1.8226700612918512e-8	4	Kruskal-Wallis rank sum test	0	0.007	0	0	0.006500000000000001	9.43231756718533e-7
Lachnospiraceae (OTU 85)	41.2185657223846	2.421823738316629e-8	4	Kruskal-Wallis rank sum test	0	0.006	0	0	0	1.1140389196256493e-6
Ruminococcaceae (OTU 27)	39.78229824778135	4.8011583054671175e-8	4	Kruskal-Wallis rank sum test	0.014	0.035	0	0	0.026000000000000002	1.8069813986030787e-6
Ruminococcaceae (OTU 92)	39.9758972390854	4.378387571036994e-8	4	Kruskal-Wallis rank sum test	0	0.002	0	0	0	1.8069813986030787e-6
Lachnospiraceae (OTU 77)	37.82076229999513	1.2201279892939478e-7	4	Kruskal-Wallis rank sum test	0	0.007	0	0	0.006	4.20944156306412e-6
Lachnospiraceae (OTU 71)	37.525271590002944	1.4038983880715627e-7	4	Kruskal-Wallis rank sum test	0	0.006	0	0	0	4.470876405089439e-6
Peptostreptococcaceae (OTU 12)	37.00758463600359	1.794833495488307e-7	4	Kruskal-Wallis rank sum test	0.003	0	0.001	0.0335	0	4.9537404475477275e-6
Acetatifactor (OTU 78)	37.0976776074747	1.719739344867979e-7	4	Kruskal-Wallis rank sum test	0	0.01	0.022	0	0	4.9537404475477275e-6
Lachnospiraceae (OTU 133)	36.0283173138536	2.8551400270280444e-7	4	Kruskal-Wallis rank sum test	0	0.002	0	0	0	7.387674819935065e-6
Ruminococcaceae (OTU 101)	35.632547121426484	3.4436921684378507e-7	4	Kruskal-Wallis rank sum test	0	0.004	0	0	0.0035	8.386403280783942e-6
Lachnospiraceae (OTU 47)	35.037543302786766	4.5635868355140726e-7	4	Kruskal-Wallis rank sum test	0.008	0.007	0	0	0.011	1.0496249721682366e-5
Lachnospiraceae (OTU 84)	34.28658848746175	6.508457184561132e-7	4	Kruskal-Wallis rank sum test	0.002	0.006	0	0	0.0055	1.4181585654780572e-5
Lachnospiraceae (OTU 70)	33.107946344481405	1.1352100519336701e-6	4	Kruskal-Wallis rank sum test	0.003	0	0.006	0	0.0015	2.349884807502697e-5
Lachnospiraceae (OTU 41)	32.858702438126464	1.2767464112010705e-6	4	Kruskal-Wallis rank sum test	0	0.022	0.002	0	0	2.517014353510682e-5
Lachnospiraceae (OTU 34)	32.338902961292476	1.6309958926541426e-6	4	Kruskal-Wallis rank sum test	0	0.03	0	0	0.0045000000000000005	3.0692377252673406e-5
Acetatifactor (OTU 138)	31.30041833214863	2.6583992894263685e-6	4	Kruskal-Wallis rank sum test	0	0.001	0.001	0	0	4.7851187209674635e-5
Lachnospiraceae (OTU 20)	30.95290313490794	3.1298690740450953e-6	4	Kruskal-Wallis rank sum test	0.065	0.015	0.027	0.003	0.07050000000000001	5.39902415272779e-5
Lachnospiraceae (OTU 110)	29.963239375683667	4.9795033767062416e-6	4	Kruskal-Wallis rank sum test	0.003	0.002	0	0	0	8.246057591825535e-5
Ruminococcaceae (OTU 54)	29.48380676712003	6.23347110036535e-6	4	Kruskal-Wallis rank sum test	0	0.002	0	0	0	9.747656861142886e-5
Acetatifactor (OTU 79)	29.44183988906141	6.3571675181366645e-6	4	Kruskal-Wallis rank sum test	0.007	0.004	0.002	0	0.006500000000000001	9.747656861142886e-5
Anaeroplasma (OTU 89)	29.275241399502853	6.872785293897823e-6	4	Kruskal-Wallis rank sum test	0	0.001	0	0	0	9.992920075602285e-5
Lachnospiraceae (OTU 94)	29.236091571686636	6.999871550542663e-6	4	Kruskal-Wallis rank sum test	0.002	0.001	0	0	0	9.992920075602285e-5
Lachnospiraceae (OTU 42)	29.148559883677635	7.2925366471424935e-6	4	Kruskal-Wallis rank sum test	0.009	0.001	0	0	0	1.0063700573056642e-4
Lachnospiraceae (OTU 63)	28.300463833948093	1.084055811033643e-5	4	Kruskal-Wallis rank sum test	0	0.002	0.001	0	0.004	1.4477390508642847e-4
Clostridiales (OTU 154)	28.21922832923905	1.1259673594114487e-5	4	Kruskal-Wallis rank sum test	0	0.001	0	0	0	1.4567202712385618e-4
Acetatifactor (OTU 55)	28.050696881540556	1.2181285372039334e-5	4	Kruskal-Wallis rank sum test	0	0.007	0.002	0	0	1.5281976194012983e-4
Acetatifactor (OTU 165)	27.79334490460103	1.373539349660455e-5	4	Kruskal-Wallis rank sum test	0.001	0	0	0	0	1.6724861492924362e-4
Ruminococcaceae (OTU 98)	25.778966131907364	3.50634554145071e-5	4	Kruskal-Wallis rank sum test	0	0.001	0	0	0	4.147505869030268e-4
Ruminococcaceae (OTU 118)	25.61357887785485	3.7859486347790496e-5	4	Kruskal-Wallis rank sum test	0	0.001	0	0	0	4.353840929995907e-4
Lachnospiraceae (OTU 102)	25.400721339898045	4.178644676059942e-5	4	Kruskal-Wallis rank sum test	0	0.001	0	0	0.0015	4.6755645834832863e-4
Clostridium (OTU 51)	24.977503165043977	5.083652526262739e-5	4	Kruskal-Wallis rank sum test	0	0.003	0.001	0	0.003	5.3879932865711e-4
Oscillibacter (OTU 57)	25.02003012257069	4.98454273230524e-5	4	Kruskal-Wallis rank sum test	0	0.003	0	0	5e-4	5.3879932865711e-4
Ruminococcaceae (OTU 59)	24.926214019035335	5.205790615044541e-5	4	Kruskal-Wallis rank sum test	0.017	0.003	0	0	0.005	5.3879932865711e-4
Firmicutes (OTU 188)	24.266449662869146	7.062830554621073e-5	4	Kruskal-Wallis rank sum test	0	0	0	0	0	7.131736218568596e-4
Bacteria (OTU 108)	24.011324135108847	7.945837476731631e-5	4	Kruskal-Wallis rank sum test	0	0	0	0	0	7.832325512778322e-4
Bacteroides (OTU 1)	23.29726889092356	1.1043480787510853e-4	4	Kruskal-Wallis rank sum test	0.182	0.074	0.247	0.015000000000000001	0.27	0.0010632560572161611
Butyricicoccus (OTU 56)	22.8032773442025	1.3861502698981772e-4	4	Kruskal-Wallis rank sum test	0.005	0.001	0.001	0	5e-4	0.0013042413903132848
Lachnospiraceae (OTU 135)	22.04510488561985	1.963192913660248e-4	4	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0.0018061374805674278
Clostridiales (OTU 97)	21.688417427648737	2.3116711167232563e-4	4	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0.0020805040050509305
Firmicutes (OTU 96)	21.437540516252295	2.592861172308353e-4	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.002283924521990762
Lachnospiraceae (OTU 62)	20.891752564824497	3.327075216503745e-4	4	Kruskal-Wallis rank sum test	0	0.001	0.009	0	0	0.0028212462429873988
Oscillibacter (OTU 119)	20.88380940894141	3.339156181313588e-4	4	Kruskal-Wallis rank sum test	0.001	0	0.001	0	0	0.0028212462429873988
Lachnospiraceae (OTU 83)	20.7079621705576	3.6180229329945963e-4	4	Kruskal-Wallis rank sum test	0	0.001	0.011	0.004	0.0015	0.002936983322077966
Clostridiales (OTU 171)	20.716983355042267	3.6031711188225853e-4	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.002936983322077966
Ruminococcaceae (OTU 143)	20.489369011718843	3.9970292382105073e-4	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.003122207744564434
Lachnospiraceae (OTU 177)	20.527844866813645	3.9275776104249544e-4	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.003122207744564434
Ruminococcaceae (OTU 60)	20.316013809864668	4.3253402823955906e-4	4	Kruskal-Wallis rank sum test	0	0.004	0.004	0	0.0125	0.003316094216503286
Porphyromonadaceae (OTU 8)	19.407914600813616	6.533851501140056e-4	4	Kruskal-Wallis rank sum test	0	0.045	0	0	0	0.004918208220858151
Ruminococcaceae (OTU 65)	19.28365743345069	6.912310803456965e-4	4	Kruskal-Wallis rank sum test	0	0.003	0	0.003	5e-4	0.005110172629698542
Lachnospiraceae (OTU 152)	19.092321555886922	7.537883806964289e-4	4	Kruskal-Wallis rank sum test	0	0.001	0	0	0	0.005474884028216168
Lachnospiraceae (OTU 116)	19.027754830553373	7.761371046499874e-4	4	Kruskal-Wallis rank sum test	0.001	0	0	0	0.002	0.0055400131262947384
Lachnospiraceae (OTU 111)	18.838131544788542	8.456302105804573e-4	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.005933744189496768
Lachnospiraceae (OTU 127)	18.232247131682307	0.0011115575797960191	4	Kruskal-Wallis rank sum test	0.001	0	0	0	0.002	0.007669747300592533
Lachnospiraceae (OTU 68)	17.697173864872642	0.0014141043080214003	4	Kruskal-Wallis rank sum test	0	0	0.005	0.0045000000000000005	0.003	0.009597363664276388
Lachnospiraceae (OTU 86)	17.547082205965854	0.001512695294556384	4	Kruskal-Wallis rank sum test	0	0	0	0	0.002	0.010100900837844241
Pseudoflavonifractor (OTU 69)	17.239394439701204	0.0017364987081900632	4	Kruskal-Wallis rank sum test	0.007	0.002	0.003	0	0	0.011411277225248985
Clostridiales (OTU 195)	16.821944872058467	0.0020931270247834923	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.013539915441568216
Lachnospiraceae (OTU 88)	16.67930776451648	0.0022308230335096515	4	Kruskal-Wallis rank sum test	0	0	0	0	5e-4	0.013784488595119338
Clostridiales (OTU 115)	16.719727956390393	0.002190921121724577	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.013784488595119338
Firmicutes (OTU 129)	16.689103620000516	0.002221087516720862	4	Kruskal-Wallis rank sum test	0	0	0	0	0	0.013784488595119338
Lachnospiraceae (OTU 90)	16.571044515196135	0.0023412605058758837	4	Kruskal-Wallis rank sum test	0	0.001	0	0	5e-4	0.014157609820778768
