otu	statistic	p.value	parameter	method	C	WM	WMR	p.value.adj
Lachnospiraceae (OTU 7)	16.492053824564415	2.6229862523926596e-4	2	Kruskal-Wallis rank sum test	0.001	0	0.429	0.025697561508217802
Lachnospiraceae (OTU 22)	16.205413510100996	3.0271864292449733e-4	2	Kruskal-Wallis rank sum test	0	0	0.168	0.025697561508217802
Lachnospiraceae (OTU 26)	17.098232323232317	1.9371623776420494e-4	2	Kruskal-Wallis rank sum test	0	0	0.093	0.025697561508217802
Lachnospiraceae (OTU 28)	14.77181753063436	6.199270393502188e-4	2	Kruskal-Wallis rank sum test	0	0	0.0295	0.025697561508217802
Lachnospiraceae (OTU 30)	15.257558885064464	4.862539972342561e-4	2	Kruskal-Wallis rank sum test	0	0	0.0125	0.025697561508217802
Lachnospiraceae (OTU 34)	14.903581267217625	5.804013949033632e-4	2	Kruskal-Wallis rank sum test	0	0	0.066	0.025697561508217802
Butyricicoccus (OTU 40)	17.400376332203727	1.6655446813387787e-4	2	Kruskal-Wallis rank sum test	0	0	0.0485	0.025697561508217802
Lachnospiraceae (OTU 41)	18.16836440515087	1.1344615912030941e-4	2	Kruskal-Wallis rank sum test	0	0	0.0195	0.025697561508217802
Lachnospiraceae (OTU 45)	15.680721468583384	3.935270563433812e-4	2	Kruskal-Wallis rank sum test	0	0	0.023	0.025697561508217802
Lachnospiraceae (OTU 47)	18.625472483823458	9.02672140167363e-5	2	Kruskal-Wallis rank sum test	0	0	0.035	0.025697561508217802
Lachnospiraceae (OTU 86)	15.680721468583384	3.935270563433812e-4	2	Kruskal-Wallis rank sum test	0	0	0.016	0.025697561508217802
Lachnospiraceae (OTU 126)	14.500836586726168	7.098773897297734e-4	2	Kruskal-Wallis rank sum test	0	0	0.006	0.025697561508217802
Lachnospiraceae (OTU 134)	15.033246603064429	5.439662782546311e-4	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.025697561508217802
Coriobacteriaceae (OTU 149)	14.50825389444316	7.07249576046907e-4	2	Kruskal-Wallis rank sum test	0	0	0.003	0.025697561508217802
Peptostreptococcaceae (OTU 369)	15.046296296296255	5.404285358891417e-4	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.025697561508217802
Peptostreptococcaceae (OTU 18)	14.334356882433802	7.714964857824212e-4	2	Kruskal-Wallis rank sum test	0.4595	0.1755	0	0.02618266198624092
Erysipelotrichaceae (OTU 20)	13.278446915661606	0.0013080425997898497	2	Kruskal-Wallis rank sum test	0	0.0075	0.211	0.039459285093660465
Lachnospiraceae (OTU 46)	13.334266883250253	0.0012720399063684868	2	Kruskal-Wallis rank sum test	0	0	0.0505	0.039459285093660465
Olsenella (OTU 90)	12.96809614814327	0.001527614250346124	2	Kruskal-Wallis rank sum test	0	0.001	0.025	0.04365760725989186
Porphyromonadaceae (OTU 6)	12.83810670901771	0.0016301987248500088	2	Kruskal-Wallis rank sum test	2.5e-4	5e-4	0.0035	0.044259895379677734
Lachnospiraceae (OTU 42)	12.668310237095817	0.0017746445696655284	2	Kruskal-Wallis rank sum test	0	0	0.0215	0.04588723815849438
Lachnospiraceae (OTU 87)	12.172594781899711	0.0022738123861486153	2	Kruskal-Wallis rank sum test	0	0	5e-4	0.04938720502714792
Ruminococcaceae (OTU 151)	12.179421812063424	0.0022660639255425636	2	Kruskal-Wallis rank sum test	0	0	0.0015	0.04938720502714792
Clostridiales (OTU 174)	12.193098871930987	0.0022506202457749608	2	Kruskal-Wallis rank sum test	0	0	0.001	0.04938720502714792
Coriobacteriaceae (OTU 176)	12.172594781899711	0.0022738123861486153	2	Kruskal-Wallis rank sum test	0	0	0.001	0.04938720502714792
Lactobacillales (OTU 319)	11.646150132754027	0.0029584935784954785	2	Kruskal-Wallis rank sum test	5e-4	0	0	0.06178700050473249
Bacteroides (OTU 1)	11.365794699128017	0.0034036824852879525	2	Kruskal-Wallis rank sum test	0.0052499999999999995	6.7005	8.0135	0.06600712819683421
unknown (OTU 136)	11.429885830386905	0.003296338687139899	2	Kruskal-Wallis rank sum test	0	5e-4	0.002	0.06600712819683421
Pseudomonas (OTU 336)	11.09705149835301	0.003893192557125291	2	Kruskal-Wallis rank sum test	0	5e-4	0	0.0728966744316908
Akkermansia (OTU 2)	10.952223432959753	0.004185572792271908	2	Kruskal-Wallis rank sum test	0.0105	0.0025	3.0755	0.07575886754012154
Porphyromonadaceae (OTU 16)	10.833333333333318	0.004441928425934326	2	Kruskal-Wallis rank sum test	2.5e-4	0	0	0.07705698471888534
Lachnospiraceae (OTU 23)	10.789166973377512	0.004541111438313684	2	Kruskal-Wallis rank sum test	0.0035	0	0.089	0.07705698471888534
Clostridium (OTU 146)	10.697610133123112	0.004753828115023581	2	Kruskal-Wallis rank sum test	0.00125	0	0	0.07822208080175164
Ruminococcaceae (OTU 48)	10.453577622134512	0.005370744115497264	2	Kruskal-Wallis rank sum test	5e-4	0	0.0315	0.08100872374208373
