genus	method	C	CWM	RM	FRM	CWM-C	RM-C	RM-CWM	FRM-C	FRM-CWM	FRM-RM
Akkermansia	Kruskal-Wallis rank sum test	0.2415	0.001	0.219	0.095	0.001286400502952332	0.969182212422568	1.0736763667284371e-4	0.2553237555093858	0.2553237555093858	0.2553237555093858
Bifidobacterium	Kruskal-Wallis rank sum test	0.016	0.018	0.006500000000000001	0.017	0.26558990589966747	0.1601900521974093	0.006306830603615631	0.5570993903123104	0.5570993903123104	0.20374221828144942
Butyricicoccus	Kruskal-Wallis rank sum test	0.001	0	0	0	0.003746229053607013	0.16077240356812716	0.16077240356812716	0.4984914346094456	0.035767284794533574	0.5234474880905633
Coriobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0	0	0	0.001	0.536101864250067	0.3990810559472622	0.49279786565375605	0.06737787566578404	0.04785797669798063	0.11342654308122749
Enterobacteriaceae Unclassified	Kruskal-Wallis rank sum test	0.191	0.571	0.17	0.545	0.028569464431692372	0.9699293482575215	0.015268836646691764	0.06759906759906761	0.9699293482575215	0.028118939883645763
Erysipelotrichaceae Unclassified	Kruskal-Wallis rank sum test	0	0.001	0	0	0.08865435017745028	0.1321890920162268	0.007407576790405219	0.5280591769506408	0.29061753179439254	0.08865435017745028
Lachnospiraceae Unclassified	Kruskal-Wallis rank sum test	0.069	0.001	0.032	0.093	2.6160414287944674e-4	0.06717272943177537	2.6160414287944674e-4	1	0.021380506876699266	0.7753070458952811
Lactobacillus	Kruskal-Wallis rank sum test	0.07100000000000001	0.0465	0.0285	0.083	0.1598347050414721	0.0013356420709460244	0.10598744221035242	0.941572761178548	0.1598347050414721	0.0013356420709460244
Peptostreptococcaceae Unclassified	Kruskal-Wallis rank sum test	0.006	0.093	0.011	0.062	0.005927795367365513	0.5110050823613659	0.005927795367365513	0.03115410242722657	0.31777530092958917	0.04023917259211377
Ruminococcaceae Unclassified	Kruskal-Wallis rank sum test	0.009	0	0.005	0.007	1.0425809275574677e-5	0.27770813400472205	5.279812364306883e-6	1	2.517906977931667e-5	0.7592926474966316
Unclassified	Kruskal-Wallis rank sum test	0	0	0	0	0.03672415911248361	0.04456277479090001	NA	0.16472529567135283	NA	NA
