effects	Df	SumsOfSqs	MeanSqs	F.Model	R2	Pr(>F)
group	4	11.710279342725876	2.927569835681469	68.4162394825098	0.07731459931208089	9.99000999000999e-4
day	16	63.61084169297617	3.975677605811011	92.91013586396716	0.4199768932456445	9.99000999000999e-4
group:unique_cage_no	20	26.861708465489087	1.3430854232744545	31.387416567920592	0.17734864951255633	9.99000999000999e-4
group:ext_plate	13	4.043590115588046	0.31104539350677274	7.269017419404189	0.02669693355890587	9.99000999000999e-4
group:day	32	12.351657915839738	0.3859893098699918	9.020429415514489	0.08154916331660697	9.99000999000999e-4
group:unique_cage_no:ext_plate	19	3.3134497845150577	0.17439209392184515	4.075479640551763	0.021876339148955797	9.99000999000999e-4
group:unique_cage_no:day	182	18.680282331284957	0.1026389139081591	2.398633989385508	0.12333254410168933	9.99000999000999e-4
group:ext_plate:day	23	0.9808393261270965	0.04264518809248245	0.9966024945850013	0.006475780574453463	0.8741258741258742
group:unique_cage_no:ext_plate:day	3	0.15381909740625588	0.05127303246875196	1.1982320713999555	0.0010155574888055855	0.4825174825174825
Residuals	228	9.756249796600027	0.042790569283333454	NA	0.06441353974030123	NA
Total	540	151.46271786855232	NA	NA	1	NA
