day	statistic	p.value	parameter	method	C	CWM	FRM	RM	p.value.adj
2	29.394744483159116	1.8500031254947122e-6	3	Kruskal-Wallis rank sum test	28.6045	11.6385	22.729	20.8015	2.2200037505936546e-5
5	25.676252361409695	1.1148074941324224e-5	3	Kruskal-Wallis rank sum test	64.409	23.895	24.85	9.966000000000001	4.45922997652969e-5
8	25.899092970521536	1.0012814842457936e-5	3	Kruskal-Wallis rank sum test	74.982	32.462999999999994	48.058	33.057	4.45922997652969e-5
6	24.617117117117118	1.8564960115311396e-5	3	Kruskal-Wallis rank sum test	73.10249999999999	23.264499999999998	27.592	14.689	5.074064935868334e-5
3	24.34692218350756	2.1141937232784725e-5	3	Kruskal-Wallis rank sum test	45.839	15.322	36.467	29.4345	5.074064935868334e-5
7	22.801262626262627	4.44238171468801e-5	3	Kruskal-Wallis rank sum test	76.1785	33.446	30.891	22.782	7.615511510893731e-5
9	22.916713286713303	4.202981945618994e-5	3	Kruskal-Wallis rank sum test	67.85849999999999	40.265	47.2675	37.2555	7.615511510893731e-5
15	22.182308970099655	5.977441680764103e-5	3	Kruskal-Wallis rank sum test	77.731	42.7855	70.901	39.7975	8.966162521146154e-5
0	20.45356609874392	1.366933108505416e-4	3	Kruskal-Wallis rank sum test	8.81	11.148	5.359500000000001	5.025	1.8225774780072213e-4
10	18.749662618083676	3.079938137437317e-4	3	Kruskal-Wallis rank sum test	80.132	46.167500000000004	48.9445	35.891	3.69592576492478e-4
-1	8.432439995025504	0.03787085638520365	3	Kruskal-Wallis rank sum test	82.952	84.663	69.3455	66.8035	0.04131366151113125
1	6.938888888888883	0.07387131004048984	3	Kruskal-Wallis rank sum test	13.5685	15.316	8.7	10.518	0.07387131004048984
